sec,ofi_best,ofi_sum,ofi_integrated
34200,-0.112813,-1.0811,-4.18045
34201,0.0371461,-0.0675071,0.22666
34202,0.53134,5.22094,18.0383
34203,0.256587,1.68811,5.91
34204,-0.00442318,-0.00442318,-0.01762
34205,0.039508,0.110064,0.369344
34206,-0.1065,-2.01061,-6.42707
34207,-0.0484402,-0.910316,-3.03241
34208,0.165075,2.28811,7.44297
34209,0.144805,2.08306,7.16595
34210,-0.0216006,-0.143302,-0.406064
34211,-0.0562989,-0.528119,-1.88991
34212,-0.0443606,-0.900267,-2.97479
34213,0.0839974,1.3705,4.65757
34214,0.356817,1.92494,6.44811
34215,0.122131,0.96975,3.33571
34216,-0.0838686,-0.596743,-1.94271
34217,0.288194,3.08691,10.226
34218,0.0468943,-0.477617,-1.37559
34219,-0.05544,-0.198184,-0.711924
34220,0.0046379,0.66279,2.02597
34221,0.0184657,0.03268,0.111088
34222,0.183669,0.752456,2.79676
34223,0.0502439,0.583602,2.07398
34224,0.0733045,2.21292,7.5107
34225,0.00953345,0.00953345,0.0439567
34226,0.285188,2.58666,8.78649
34227,0.0229748,0.149658,0.593465
34228,-0.118352,-1.55193,-5.28733
34229,0.0347413,0.846115,2.91889
34230,-0.0555259,-0.781056,-2.57068
34231,0.038735,0.652354,2.30099
34232,0.0222018,0.269556,0.913495
34233,0.0218582,1.38497,4.33777
34234,0.0302322,0.188049,0.614848
34235,0.127929,2.01757,6.92776
34236,0.179933,0.993841,3.03765
34237,0.00184657,0.652999,2.25874
34238,0.00880341,0.00244778,-0.0146917
34239,0.0109506,-0.658925,-2.21269
34240,-0.00399374,0.00626975,0.018991
34241,0.0494709,0.882746,2.92807
34242,-0.0270544,-0.0103494,-0.0410239
34243,0.00480967,-0.00120242,0.00314024
34244,0.0340112,0.0316923,0.112614
34245,0.00433729,-0.0039508,-0.0119933
34246,0.0109076,0.6822,2.41098
34247,-0.0209994,-0.713162,-2.52279
34248,0.0257661,0.0191957,0.0882287
34249,-0.00223306,0.693279,2.43495
34250,0.00777277,-0.696328,-2.44459
34251,0,0.00429435,0.00832389
34252,0.00429435,0.00429435,0.0151756
34253,0.00103064,-0.00742922,-0.0306867
34254,-0.0840833,-1.06706,-3.52993
34255,-0.00154597,0.149057,0.455827
34256,-0.0203982,-0.0185516,-0.070566
34257,0.0353854,0.86544,2.88188
34258,-0.00884636,-0.0181221,-0.0690623
34259,0.0645011,0.887599,3.10327
34260,0.012883,0.0695255,0.200876
34261,-0.0747646,-0.942738,-3.26649
34262,0.277458,2.22529,7.58467
34263,0.0928438,1.13414,3.86411
34264,0.0292875,-0.0769547,-0.229782
34265,-0.151805,-2.82624,-9.41176
34266,0.141628,3.40323,11.18
34267,0.00012883,0.119039,0.399222
34268,0.0125395,-0.687482,-2.259
