sec,ofi_best,ofi_sum,ofi_integrated
34200,-0.0461257,-4.63635,-2.39566
34201,0.21261,4.69256,2.68608
34202,-0.554229,-9.85071,-5.51981
34203,-1.22449,-13.179,-7.34725
34204,0.531886,7.06299,3.95628
34205,-0.370447,-2.18016,-1.20578
34206,-0.548463,-2.49799,-1.36629
34207,0.338735,4.89292,2.74587
34208,1.52863,23.3208,12.8789
34209,-0.0857649,4.98734,2.71025
34210,-0.490085,-7.89902,-4.31658
34211,0.200358,0.0742335,0.0878193
34212,0.231349,4.45401,2.47493
34213,-0.108107,-3.2533,-1.7278
34214,0.185223,4.70914,2.59709
34215,4.94265,40.0854,22.7663
34216,0.638552,-2.0843,-1.05275
34217,1.07242,2.26016,1.38714
34218,0.0309907,3.38447,1.89973
34219,-0.201079,-4.16861,-2.27618
34220,2.36322,16.0539,9.06551
34221,-0.17153,-2.14196,-1.17352
34222,5.78949,16.1267,9.70283
34223,0.19171,13.1004,7.35896
34224,-7.11488,-48.6582,-27.7937
34225,-1.22954,-5.63165,-3.20629
34226,0.0410807,-3.04429,-1.64557
34227,-0.7481,-11.1235,-6.11538
34228,0.0108107,-0.621255,-0.32225
34229,0.674588,1.82557,1.08728
34230,0.372609,5.37436,3.01581
34231,-0.0345942,-3.32249,-1.79792
34232,0.354591,5.38012,3.03348
34233,-0.0518914,-1.27278,-0.671045
34234,-0.79783,-10.1296,-5.60341
34235,0.730083,6.67453,3.76127
34236,-0.429545,-5.65904,-3.11465
34237,-0.934765,-8.97432,-4.98199
34238,0.37405,3.44933,1.95683
34239,0.148467,5.55742,3.11651
34240,-0.0237835,-1.0054,-0.516584
34241,0.392789,1.61151,0.956426
34242,-0.0814406,-2.54988,-1.36417
34243,-0.684678,-14.8986,-8.19119
34244,0.175854,6.13976,3.39453
34245,-0.216214,-3.09763,-1.69
34246,-0.0180178,0.34306,0.206418
34247,-0.356032,-5.0349,-2.76285
34248,0.383419,6.50516,3.64192
34249,-0.0526121,0.359636,0.227617
34250,-0.0936927,-7.18119,-3.903
34251,0.505941,7.30371,4.09851
34252,-0.306303,-6.5275,-3.56936
34253,-1.83422,-20.9101,-11.6357
34254,-3.2497,-51.5346,-28.4411
34255,-5.23094,-40.3153,-22.891
34256,1.14161,4.87346,2.80939
34257,0.309186,12.8265,7.1523
34258,-0.699813,-6.32858,-3.51723
34259,-0.17153,-9.52639,-5.23616
34260,-0.436032,-5.38877,-2.97565
34261,-0.460536,-4.93833,-2.73389
34262,0.517472,1.18269,0.726457
34263,0.174413,5.8803,3.2667
34264,0.430266,6.95849,3.88502
34265,-0.286123,-5.07743,-2.77386
34266,1.48395,14.882,8.37684
34267,2.89799,17.6265,10.0541
34268,0.792064,3.54086,2.05527
34269,-0.673146,-7.5365,-4.16929
34270,0.469905,12.015,6.69414
