session,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9
MSFT_2024-06-03,0.2876237216111594,0.3069978818193376,0.3138940799847215,0.3158774823722904,0.3241371048015993,0.3256592810017526,0.32466098699520346,0.32272169914049104,0.3213217227343325,0.31748430972277875
MSFT_2024-02-01,0.2901229470749781,0.3112017121467954,0.31771805485763455,0.31964917546435445,0.3210647558428558,0.3229643982141856,0.32112032408966185,0.32147797152895785,0.31945927078131825,0.31615290258296513
MSFT_2024-04-01,0.2874235139056448,0.31091501515637565,0.319655256710855,0.3221388387102879,0.3218744273130324,0.32308167548506067,0.32368122930993704,0.32070451208706996,0.3186026128724466,0.31249511876807246
MSFT_2024-10-01,0.29194401516211893,0.32010111972763977,0.32700795746204164,0.3289881226058808,0.3262962999934641,0.31916671617846826,0.31956128918470833,0.3180257544046441,0.30743859666340617,0.3016978940379294
MSFT_2024-12-02,0.3255167252018561,0.3436996058280528,0.353860848383143,0.35630570260822725,0.3222210474698272,0.3100620197871021,0.321062180371135,0.3060819032308913,0.25268377732394276,0.2513109285687817
INTC_2024-08-02,0.34715635916934023,0.33978448892392,0.3400465947716658,0.32398568056353627,0.3221138343939043,0.32588647034202317,0.311302523097719,0.2923124948471661,0.27982429422630806,0.269840231468581
INTC_2024-02-01,0.30118393801420534,0.31257134505215445,0.31683162473316845,0.3195717186322931,0.3242764636977582,0.32087544991047984,0.3253097661593193,0.32213660790631005,0.3115090200897833,0.30712609947869735
INTC_2024-04-01,0.32842557748022827,0.3395061428889634,0.3388973631438574,0.3220744334413081,0.3294210944107013,0.3230785162644202,0.30181198270744697,0.2671009392572832,0.3254151105114991,0.27760131781664876
INTC_2024-10-01,0.32648326856307486,0.3436171054131423,0.33659832810863666,0.3490101221763958,0.3218448872914862,0.3003378579168867,0.30230983203049544,0.3036273781709065,0.2889863953260008,0.2816887359732689
INTC_2024-12-02,0.30526378351278044,0.30480735640970447,0.30681024262140955,0.3265223156890399,0.32845697624304127,0.33184391920807427,0.3220389471724439,0.3125536416274815,0.3134169189419308,0.3090691684816904
AAPL_2024-02-01,0.39032856762539986,0.4063802636566737,0.24492776543260775,0.262045371252824,0.25905934946010534,0.26601116254232143,0.26816111096192635,0.3332443188172632,0.32604678656797514,0.3559479654437801
AAPL_2024-04-01,0.4085469192979512,0.42112084043752074,0.41406403934635017,0.27955533442900987,0.26140194411602763,0.2594465495483021,0.2580374435751046,0.2883466468638509,0.27001240894996115,0.21879016957417827
AAPL_2024-06-03,0.3173196199760419,0.35395842652141296,0.35412330836067224,0.37594043532884386,0.3942662565239858,0.33216729591498817,0.33668946673239947,0.3052634849717041,0.13379665704789037,0.1306102270937368
AAPL_2024-08-01,0.29412381444741864,0.3169316619223126,0.3107395675334216,0.3160257526362222,0.31771668750811183,0.3193085050372908,0.32034391999801554,0.32728348367019905,0.32162258588034803,0.3170749751466955
AAPL_2024-10-01,0.2959109122941217,0.32684391414818825,0.33212387882829936,0.32887678174139456,0.33620548949294277,0.328916749453,0.32260365683465736,0.31504514876356715,0.2871967320818753,0.28304538857936434
