sec,ofi_best,ofi_sum,ofi_integrated
34354,0.0135087,0.00556239,0.0418857
34355,-0.0119194,-0.323858,-1.04663
34356,0.0238388,0.379339,1.32685
34357,-0.0102825,-0.0229965,-0.0448465
34358,-0.000444991,-0.0179268,-0.0359304
34359,-0.309221,-4.43683,-15.0099
34360,0.0395406,0.641216,2.16881
34361,0.0836583,1.4702,4.89887
34362,-0.00737414,-0.00737414,0.0130761
34363,0.0316579,0.729102,2.50469
34364,-0.0127458,-0.00479955,0.0295695
34365,0.0331042,0.677165,2.31469
34366,-0.0124756,0.0320235,0.157303
34367,-0.0791607,-1.10752,-3.73443
34368,-0.102555,-1.5202,-5.08005
34369,0.0186102,0.288879,1.0354
34370,-0.0947354,-1.41205,-4.73007
34371,-0.00181175,-0.324112,-1.11066
34372,-0.0814492,-0.967808,-3.19661
34373,-0.143096,-1.97015,-6.63153
34374,0.00238388,0.0246334,0.121892
34375,-0.0380467,-0.712685,-2.36718
34376,-0.105733,-1.41587,-4.80091
34377,0.0143827,0.694345,2.35446
34378,0.00472008,0.0271444,0.137618
34379,0.0168302,0.673112,2.34127
34380,0.0211212,0.708743,2.41774
34381,-0.0175454,0.646922,2.21919
34382,-0.0331995,-0.0399697,-0.0379276
34383,-0.0614723,-0.480304,-1.55593
34384,0.0280185,0.423139,1.41457
34385,0.0174977,0.281107,0.970945
34386,-0.0111248,0.311875,1.08799
34387,0.00642058,0.0408597,0.182878
34388,-0.00640469,-0.0510945,-0.15733
34389,-0.129429,-1.84751,-6.13851
34390,0.21145,1.95146,6.51334
34391,-0.0863441,-0.447089,-1.4461
34392,-0.0194525,-0.308093,-1.01581
34393,1.58925e-05,-0.0262068,-0.0444124
34394,-0.0342325,-0.0654931,-0.181934
34395,0.00635701,-0.012714,-0.0222236
34396,-0.0508879,-1.11243,-3.69622
34397,0.122976,1.80469,6.0749
34398,9.53552e-05,-0.00251102,0.0418532
34399,0.0347093,0.636528,2.20903
34400,0.0428304,0.602295,2.09793
34401,-0.0260479,-0.0403511,-0.0964859
34402,0.0228217,0.707393,2.47066
34403,-0.0846436,-0.707345,-2.34408
34404,0.0354721,0.339735,1.20099
34405,0.0206603,0.019071,0.086085
34406,-0.0874407,-1.03651,-3.54715
34407,0.0188327,0.0286542,0.129915
34408,-0.00905875,-0.0268902,-0.0615014
34409,-0.117192,-1.35805,-4.58016
34410,0.00951963,0.0115698,0.0500335
34411,0.104811,1.5661,5.45036
34412,-0.046136,-0.731041,-2.4922
34413,-0.00239977,-0.0192459,-0.0443523
34414,0.0040367,0.0161786,0.0943737
34415,0.00135087,0.011681,0.0786083
34416,-0.00567364,-0.0287178,-0.0717117
34417,-0.0316738,-0.0364416,-0.0737751
34418,-0.229742,-1.66908,-5.63939
34419,-0.00556239,-0.00635701,0.0151207
34420,0.0119194,0.0246334,0.118136
34421,-0.00376653,-0.0180698,-0.0330556
34422,0.00985337,0.0360761,0.159418
34423,0,0,0.0339061
34424,-0.0908735,-0.0972305,-0.249534
34425,0.00823233,0.0336604,0.157449
34426,-0.00704039,-0.0229329,-0.0500846
34427,0.0103301,0.0325797,0.15105
34428,0.578329,2.72276,9.05814
34429,-0.00513329,-0.0078827,0.0141763
34430,0.00794627,0.019071,0.10045
34431,0.244205,2.34567,7.96193
34432,-0.0724382,-0.776907,-2.57222
34433,0.00920178,0.300766,1.08213
34434,-0.0799553,-1.09555,-3.70111
34435,-0.065509,-0.771138,-2.61981
34436,-0.0145576,-0.0145576,-0.0148265
34437,-0.0581031,-0.451698,-1.53433
34438,-0.00807341,-0.321427,-1.0919
34439,0,0.0027653,0.0441522
34440,-0.225436,-1.58461,-5.36125
34441,0.0430688,0.0575787,0.205356
34442,0.0378878,0.705517,2.41921
34443,-0.0102666,-0.00963088,0.00727142
34444,-0.0083118,-0.688671,-2.3241
34445,0.00433866,0.00433866,0.04642
34446,0,0.0205332,0.115037
34447,-0.0849138,-0.804846,-2.71333
34448,0.0404147,0.719328,2.46608
34449,0.0722157,0.110024,0.382838
34450,-0.0269061,-0.0316738,-0.0613278
34451,0.00378242,0.0149072,0.0885419
34452,0.00662719,0.00662719,0.0527723
34453,-0.00495847,0.00139854,0.0450204
34454,-0.00564185,-0.00882036,0.00563642
34455,0.00775556,0.0141126,0.0897651
34456,0.0559258,0.72667,2.46076
34457,0.000365528,0.000365528,0.0351093
34458,-0.37589,-3.23739,-10.9439
34459,0.015829,0.03579,0.157653
34460,0,0.0143033,0.0889992
34461,0.00379832,0.0227263,0.107584
34462,0.00155747,-0.0175295,-0.0283431
34463,0.0448805,0.731359,2.53186
34464,-0.00271762,-0.00451348,0.0192966
34465,-0.0863918,-0.80483,-2.68258
34466,-0.10327,-1.09647,-3.82819
34467,0.0231236,0.0326592,0.136215
34468,-0.0705152,-0.87463,-3.00891
34469,-0.00146211,-0.00464062,0.018573
34470,3.17851e-05,0.0102348,0.0726277
34471,-0.00708807,-0.0181175,-0.0516939
34472,-0.0459771,-0.640533,-2.15735
34473,-0.00716753,0.0101553,0.0647405
34474,-0.0711191,-0.809486,-2.73941
34475,-0.197751,-1.85057,-6.17086
34476,0.00437045,0.00373475,0.0427141
34477,0.0598036,0.862249,2.93313
34478,-0.0111725,-0.0111725,0.00226308
34479,-0.0763636,-0.895513,-2.97157
34480,0.000953552,0.00889982,0.0681176
34481,-0.120306,-0.88469,-2.83716
34482,0.0250784,0.0330406,0.136846
34483,0,0.157336,0.483598
34484,-0.0102348,-0.0157972,-0.0170016
34485,-0.111947,-0.757263,-2.54295
34486,0.0181652,0.0412093,0.176447
34487,0.0583733,0.709475,2.43155
34488,0.0873454,1.40679,4.77371
34489,0.0449123,0.407437,1.4636
34490,0.00705629,0.341038,1.18326
34491,0.0444355,0.718978,2.46031
34492,0.0624736,0.754117,2.61745
34493,-0.00961498,0.298621,1.09662
34494,-0.00794627,-0.317485,-1.07911
34495,0.00317851,0.00476776,0.0660348
34496,0.000111248,-0.00306726,0.0218517
