sec,ofi_best,ofi_sum,ofi_integrated
34363,0.0173797,0.738288,0.417793
34364,0,-0.773048,-0.360886
34365,0,0.859946,0.483539
34366,0,-0.0347593,0.0144385
34367,0.0695187,0.392781,0.279519
34368,-0.663903,-8.15315,-4.30609
34369,0,0,0.0349275
34370,-0.657647,-1.28331,-0.810339
34371,-1.12968,-13.8363,-7.33911
34372,-1.6038,-23.4772,-12.1658
34373,-1.45503,-14.9437,-8.20914
34374,-0.0118182,-0.133476,-0.0453845
34375,-0.177968,-11.7521,-6.03431
34376,-1.5315,-27.8846,-14.8177
34377,0.545027,8.34572,4.3288
34378,0.487326,-0.0361497,0.195308
34379,0.123048,1.71989,0.94654
34380,0.513743,5.43428,2.931
34381,0.136257,2.93508,1.54637
34382,0.1877,1.02053,0.583019
34383,-0.0695187,-0.0347593,0.00660697
34384,0.400428,1.91802,1.13008
34385,1.60936,24.6757,13.0251
34386,-0.141123,-3.31952,-1.73412
34387,-0.0458823,-0.498449,-0.199765
34388,0.187005,1.83599,0.985461
34389,-0.0868984,-1.19642,-0.592647
34390,0.0347593,-0.0347593,0.0127151
34391,0.0486631,0.705615,0.385593
34392,0.243315,1.34658,0.783467
34393,0.369839,7.36829,3.99985
34394,-0.243315,-5.63171,-2.94528
34395,-0.139037,-0.139037,-0.0632273
34396,0.434492,5.96331,3.24248
34397,0.260695,3.58716,1.94543
34398,0.104278,4.16486,2.15421
34399,0.435187,2.12032,1.23365
34400,0.191176,1.41679,0.828596
34401,0.528342,3.97299,2.21345
34402,-0.250267,-3.54615,-1.78197
34403,-0.118182,0.886363,0.418848
34404,-0.22246,-3.93545,-2.02631
34405,-0.479679,-4.53192,-2.41034
34406,-0.0139037,-1.68235,-0.825789
34407,0.361497,3.71994,2.00732
34408,0.501925,3.33829,1.82447
34409,-0.291978,-2.64727,-1.39271
34410,-0.757059,-14.6796,-7.67117
34411,0.381658,5.76658,3.03602
34412,-0.399732,-4.47492,-2.31481
34413,-0.159198,-4.39984,-2.27996
34414,-0.524171,-7.98005,-4.13847
34415,0.987861,16.4412,8.57972
34416,0.0695187,1.40497,0.752989
34417,-0.173797,-2.68203,-1.40223
34418,1.31668,5.8062,3.40402
34419,0.0486631,-6.23583,-3.15853
34420,0.816845,4.36577,2.46072
34421,-0.145294,-8.86711,-4.5156
34422,0.573529,3.00112,1.69415
34423,0.444224,15.0487,7.82431
34424,0.461604,-2.52909,-1.12837
34425,0.451871,0.472727,0.363657
34426,0.191176,-8.90048,-4.41323
34427,-0.115401,-2.57428,-1.27429
34428,-1.15123,-14.3938,-7.72781
34429,-0.104278,-0.934331,-0.470059
34430,-0.0347593,-1.37299,-0.679841
34431,0.409465,9.48026,4.91754
34432,0.0868984,0.172406,0.136724
34433,-0.171711,-2.27187,-1.16209
34434,0.0841176,0.360802,0.242176
34435,0.127219,-4.41235,-2.1565
34436,0.117487,-1.61979,-0.763346
34437,-0.772353,-9.19176,-4.85022
34438,-0.392085,-5.9501,-3.06394
34439,-0.703529,-16.9952,-8.84685
34440,-0.588128,-7.47048,-3.98867
34441,1.50508,12.1192,6.58545
34442,0.919037,8.58903,4.54864
34443,-0.104278,-0.104278,-0.0394708
34444,0.313529,-4.34214,-2.04474
34445,0.142513,3.54545,1.81371
34446,0.139037,-0.983689,-0.436157
34447,0.16615,0.476898,0.346615
34448,-0.806417,-6.78294,-3.53747
34449,-0.549198,-5.08182,-2.63524
34450,0.16893,1.84433,0.984619
34451,-0.0347593,-0.121658,-0.0355858
34452,-0.412246,-9.18828,-4.63446
34453,-0.063262,0.529732,0.284622
34454,-0.296845,-1.39941,-0.769447
34455,0.0868984,2.40396,1.28995
34456,-0.385134,-0.701444,-0.416489
34457,-0.00139037,-0.635401,-0.276283
34458,-1.00524,-12.9736,-6.92798
34459,-0.362888,-2.68203,-1.45117
34460,0.0507486,0.85647,0.483536
34461,0.825882,-1.20406,-0.264986
34462,-0.81754,-23.7302,-12.2692
34463,2.35529,26.2148,13.9964
34464,-0.052139,-1.56834,-0.77775
34465,0.0535294,-1.54053,-0.718109
34466,0.143208,-2.26839,-1.06425
34467,-0.509572,-10.0976,-5.18502
34468,-0.110535,4.10299,2.10025
34469,-0.454652,-5.58583,-2.96254
34470,-0.573529,-6.17743,-3.25815
34471,1.47449,19.7808,10.5077
34472,-0.156417,-0.940588,-0.480232
34473,0.0917647,1.43904,0.789206
34474,-0.298235,-3.28893,-1.69779
34475,-0.89401,-9.86609,-5.22102
34476,1.00733,14.8485,7.81103
34477,0.570748,7.9731,4.27414
34478,-0.183529,-2.72027,-1.44929
34479,-0.735508,-8.98112,-4.70303
34480,0.362888,7.63941,4.06947
34481,-0.110535,-1.0108,-0.509641
34482,-0.127914,-2.71123,-1.40183
34483,-0.110535,-1.53636,-0.764213
34484,0.22246,1.97503,1.05127
34485,-1.28331,-17.1607,-8.9385
34486,-0.214813,-3.90626,-2.00641
34487,1.42513,14.0038,7.4815
34488,0.448396,6.51946,3.38074
34489,-0.16754,2.24615,1.1291
34490,-0.50401,-7.62342,-3.96428
34491,0.0688235,0.0688235,0.0835141
34492,0.396952,4.59449,2.51285
34493,-0.0417112,-0.0938502,-0.0395762
34494,0.191176,-0.566577,-0.224107
34495,0.121658,2.52839,1.32173
34496,-0.0173797,-2.19957,-1.02208
34497,-0.139733,-3.68727,-1.84317
34498,-0.093155,-2.32957,-1.15703
34499,-0.400428,-4.76759,-2.47633
34500,-1.14984,-15.3289,-8.16564
34501,1.04278,-1.08449,-0.370768
34502,-1.03235,-14.161,-7.49075
34503,-0.273904,-0.517219,-0.353427
34504,0.0500535,-2.6,-1.21722
34505,-0.208556,0.0674331,-0.0254184
34506,0.712567,9.63807,5.0844
34507,-0.376096,-4.01957,-2.07259
34508,0.976042,8.89005,4.7881
34509,-0.397647,0.257914,0.0959132
34510,-1.6031,-25.0184,-13.1109
34511,-0.208556,-6.33871,-3.31287
34512,-0.0173797,0.690321,0.386352
34513,0.0667379,0.313529,0.205534
34514,0.691711,9.42743,5.05437
34515,0,0.877326,0.462424
34516,0.0945454,-3.31118,-1.62248
34517,-0.759839,-10.6961,-5.54153
34518,0.851604,15.0772,7.78916
34519,0.89123,12.5238,6.6654
34520,-0.0361497,4.70642,2.40834
34521,-0.0750802,5.94246,3.03433
34522,0.0903743,1.9062,1.02651
34523,0.0173797,-0.695187,-0.314273
34524,0.472727,4.78358,2.59684
34525,0.346203,4.74326,2.54378
34526,0.285027,1.94235,1.0899
34527,-0.549893,-10.6086,-5.50602
34528,-0.306577,-9.40727,-4.84476
34529,-0.344813,-5.67898,-2.86542
34530,0.882887,-2.46722,-0.94019
34531,0.68754,4.26914,2.33155
34532,0.699358,6.14406,3.34508
34533,0.139733,-1.03652,-0.473701
34534,0.437968,3.23957,1.82112
34535,-0.0729946,-1.01845,-0.467066
34536,0.207166,4.5215,2.36281
34537,0,1.24786,0.64544
34538,0.604117,6.21497,3.36229
34539,-0.369839,-5.8062,-3.03593
34540,-0.141123,-1.09283,-0.570161
34541,-0.200214,-4.53748,-2.31591
34542,0.159893,2.45749,1.3316
34543,-0.0173797,0.667379,0.335445
34544,0.0695187,-3.02198,-1.43093
34545,0.257914,2.62294,1.44726
34546,-0.646524,-11.4483,-5.94334
34547,0.114011,0.100802,0.106069
34548,0.731337,12.8776,6.80461
34549,-0.727861,-9.73957,-5.10211
34550,-0.472727,-12.7087,-6.50517
34551,-0.499144,-5.9939,-3.13511
34552,0.656952,8.57026,4.53042
34553,-0.00347593,-0.859251,-0.417189
34554,-0.229412,-3.29241,-1.65767
34555,0.125829,2.66396,1.36754
34556,0.00625668,0.834919,0.454743
34557,0.236364,2.72583,1.4745
34558,0.153636,1.5315,0.833112
34559,-0.325347,-1.70946,-0.895715
34560,-0.0417112,-3.2646,-1.66721
34561,-0.559625,-4.36299,-2.297
34562,-0.291978,-5.9501,-3.0261
34563,1.08449,13.253,7.00053
34564,0.433797,3.43492,1.86156
34565,-0.063262,0.805722,0.390496
34566,-0.378877,-6.53823,-3.35154
34567,1.02053,10.0934,5.4037
34568,-0.218984,-2.05706,-1.07471
34569,-0.507486,-8.92898,-4.58247
34570,0.0173797,0.0173797,0.0471968
34571,0.782085,10.9311,5.71143
34572,0.0625668,0.977433,0.567194
34573,0.785561,12.4591,6.54803
34574,0.358716,0.264171,0.256636
34575,0.0278075,-1.16583,-0.54341
34576,-0.191176,0.42754,0.196504
34577,1.10882,13.6722,7.26476
34578,-0.166845,-4.42904,-2.27164
34579,0.156417,0.156417,0.147698
34580,0.218984,3.30144,1.74634
34581,0.11262,1.58225,0.841062
34582,-0.0236364,-1.03027,-0.476148
34583,0.177273,2.41369,1.27093
34584,0.187005,4.77037,2.54985
34585,0.125134,-0.405989,-0.151896
34586,0.0813369,1.98337,1.09852
34587,-0.796684,-14.6531,-7.68836
34588,0.0896791,0.488021,0.277056
34589,0.12861,-1.14845,-0.510981
34590,-0.160588,0.462299,0.228203
34591,-0.4477,-7.50385,-3.88916
34592,0.303101,5.13048,2.67586
34593,-0.159893,0.0722994,0.0503013
34594,0.751497,9.59288,5.14866
34595,-0.415027,-7.20144,-3.74628
34596,0.37262,3.15684,1.75666
34597,0.217593,2.44358,1.34796
34598,-0.579786,-10.0357,-5.18744
34599,0.188396,1.9215,1.06711
34600,-0.219679,-0.665294,-0.383353
34601,0.00278075,-0.846738,-0.387748
34602,-0.458823,-4.08144,-2.11989
34603,0.347593,0.89262,0.541755
34604,-0.0145989,0.1877,0.128624
34605,0.0312834,1.34449,0.713123
34606,-0.0152941,-0.0152941,0.0241305
