session,side,size_normalisation,size,n,cost_bp,cost_sigma,cost_half_spreads,cost_sd,participating
AAPL_2024-02-01,buy,shares,1.0,23357,0.39811857614365576,0.0029719415383575223,0.9999999999999382,0.20233931442425232,1.0
AAPL_2024-02-01,buy,shares,2.5,46714,0.4009775061951258,0.002993283353294981,1.0095867049134113,0.20371471520435958,1.0
AAPL_2024-02-01,buy,shares,4.0,23357,0.4023754474925563,0.0030037189372113674,1.0141427980190927,0.20526008262408474,1.0
AAPL_2024-02-01,buy,shares,5.5,46714,0.4031404691640083,0.0030094297977925405,1.0166150523514879,0.20628721558250876,1.0
AAPL_2024-02-01,buy,shares,7.0,23357,0.40375060059326945,0.0030139844080195807,1.018602560260416,0.20704409940713725,1.0
AAPL_2024-02-01,buy,shares,8.5,46714,0.40421923394329345,0.0030174827399303567,1.0200934092245568,0.2076539970575466,1.0
AAPL_2024-02-01,buy,shares,10.0,23357,0.40461413469030133,0.003020430660484402,1.0213477758273184,0.20816440408622888,1.0
AAPL_2024-02-01,buy,shares,12.0,46714,0.4053997412898379,0.003026295186848849,1.0238107042876494,0.20876514838199015,1.0
AAPL_2024-02-01,buy,shares,14.0,23357,0.40624141801588587,0.0030325782747877257,1.0262809966218978,0.20956676350167233,1.0
AAPL_2024-02-01,buy,shares,17.0,46714,0.40729604311766504,0.0030404510150595604,1.029213449572519,0.2109677828643443,1.0
AAPL_2024-02-01,buy,shares,20.0,23357,0.40814504725015976,0.0030467888018366534,1.031588745700732,0.21222807373827882,1.0
AAPL_2024-02-01,buy,shares,23.5,46714,0.4092397561041667,0.0030549607659463036,1.0348103024428545,0.21346625817640305,1.0
AAPL_2024-02-01,buy,shares,28.0,23357,0.4115363774818156,0.0030721049658885132,1.041293178541061,0.215645137969261,1.0
AAPL_2024-02-01,buy,shares,33.5,46714,0.41461563081952196,0.0030950914866133177,1.0499899867994427,0.2187432752676353,1.0
AAPL_2024-02-01,buy,shares,40.0,23357,0.4181710863594113,0.0031216328404710877,1.05985967618738,0.22255541525957107,1.0
AAPL_2024-02-01,buy,shares,47.5,46714,0.4221135085417042,0.003151062887063716,1.0708258720183286,0.2267811001478665,1.0
AAPL_2024-02-01,buy,shares,56.0,23357,0.4267278818314644,0.0031855090256643352,1.0832686851495381,0.23221996658785204,1.0
