session,side,size_normalisation,size,n,cost_bp,cost_sigma,cost_half_spreads,cost_sd,participating
AAPL_2024-06-03,buy,shares,1.0,23347,0.363004274852612,0.003777225345242573,1.00000000000005,0.15071069034422574,1.0
AAPL_2024-06-03,buy,shares,2.5,46694,0.3643550385825221,0.0037912806590487884,1.0044509644351538,0.15184171336710572,1.0
AAPL_2024-06-03,buy,shares,4.0,23347,0.3650496861621624,0.003798508784516164,1.006799588812316,0.1527397523739588,1.0
AAPL_2024-06-03,buy,shares,5.5,46694,0.36556117068959276,0.0038038310147336845,1.0085341680825415,0.15337348287497485,1.0
AAPL_2024-06-03,buy,shares,7.0,23347,0.3660272870797485,0.0038086811687530666,1.0101022462355982,0.15394844554638076,1.0
AAPL_2024-06-03,buy,shares,8.5,46694,0.36639473209544926,0.003812504602035916,1.011345388574046,0.15443536842113215,1.0
AAPL_2024-06-03,buy,shares,10.5,46694,0.3668883682880445,0.003817641112174142,1.0130191602063168,0.1550019022048078,1.0
AAPL_2024-06-03,buy,shares,13.0,23347,0.36760180113925456,0.0038250647069756447,1.0155019093213011,0.15561325048427896,1.0
AAPL_2024-06-03,buy,shares,15.0,46694,0.36808257240412456,0.003830067351662595,1.0171585405590364,0.15610845811993532,1.0
AAPL_2024-06-03,buy,shares,18.0,23347,0.3686883907285271,0.0038363711681409945,1.019261337407187,0.1568059686837822,1.0
AAPL_2024-06-03,buy,shares,21.0,46694,0.3692157592092504,0.0038418586781502886,1.0211084319445634,0.1573989108198452,1.0
AAPL_2024-06-03,buy,shares,25.0,23347,0.37000064308594394,0.003850025753519643,1.0238431775672887,0.15812421609568553,1.0
AAPL_2024-06-03,buy,shares,30.0,46694,0.3714232278986193,0.0038648283985088135,1.0286268616648413,0.15913890429956903,1.0
AAPL_2024-06-03,buy,shares,37.5,46694,0.37346382244006404,0.0038860617171093677,1.0354059968957445,0.1608910836123912,1.0
AAPL_2024-06-03,buy,shares,45.0,23347,0.3754320086536476,0.003906541593973417,1.0419322650699652,0.162685888770553,1.0
AAPL_2024-06-03,buy,shares,53.0,46694,0.3777019902263664,0.00393016178944684,1.0492381707041376,0.16483242162567346,1.0
AAPL_2024-06-03,buy,shares,63.0,23347,0.38070609577248293,0.0039614208803024015,1.058897181084222,0.1676312949170587,1.0
AAPL_2024-06-03,buy,shares,75.0,46694,0.38404189918362913,0.003996131439004345,1.0695954335067877,0.17098714846669813,1.0
AAPL_2024-06-03,buy,shares,89.0,23347,0.3876847099721992,0.004034036549747454,1.0812321322567682,0.17473600224036784,1.0
AAPL_2024-06-03,buy,shares,106.0,46694,0.3931421734761643,0.004090823951152804,1.099069651806022,0.1785708031533906,1.0
AAPL_2024-06-03,buy,shares,133.5,46694,0.4056324319839197,0.004220790798026111,1.140686320451674,0.18452747485849758,1.0
AAPL_2024-06-03,buy,shares,158.0,23347,0.41723986869307617,0.004341571480702442,1.1785984483952916,0.19121990161065308,1.0
AAPL_2024-06-03,buy,shares,189.0,46694,0.43193884857890086,0.004494521082732585,1.2259053098760666,0.2007607728437659,1.0
AAPL_2024-06-03,buy,shares,224.0,23347,0.45084456420468055,0.004691243692295897,1.2872702684857495,0.20986920345240861,1.0
AAPL_2024-06-03,buy,shares,266.5,46694,0.47647726645965144,0.004957963671458246,1.3696465446036579,0.2210852145152654,1.0
AAPL_2024-06-03,buy,shares,335.5,46694,0.5209796385977802,0.00542103118776176,1.511785724629249,0.23825930604724846,1.0
AAPL_2024-06-03,buy,shares,398.0,23347,0.5640304493083284,0.005868994544157899,1.6485694129332638,0.25172965229410155,1.0
AAPL_2024-06-03,buy,shares,474.0,46694,0.6185044755310289,0.00643582167750044,1.8208593403346967,0.26766348684188124,1.0
AAPL_2024-06-03,buy,shares,562.0,23347,0.6817173054108557,0.007093580055865362,2.0195364728162253,0.2838489733074421,1.0
AAPL_2024-06-03,buy,shares,669.5,46694,0.7578911626199863,0.007886203845797425,2.257598112304173,0.3049107329296439,1.0
AAPL_2024-06-03,buy,shares,794.0,23347,0.8444919610713203,0.00878732472367534,2.5278178574570336,0.3259489584141378,1.0
