p_original_filtered,p_unfiltered,p_unfiltered_count_weighted,n_buckets_all,n_buckets_kept,share_of_snapshot_points_dropped,session
0.5425802759492414,0.1544610866253113,0.58356992474625,3342,999,0.22839347691722534,MSFT_2024-06-03
0.4903695598409467,0.2675871326883713,0.6590036425989744,4336,999,0.34854426619132506,MSFT_2024-02-01
0.58133003260504,0.3231454654436764,0.730711725508484,3255,999,0.2000057197603421,MSFT_2024-04-01
0.3885542585737439,0.2263642008316007,0.41580084943025686,2774,999,0.288328408912488,MSFT_2024-10-01
0.4602885660905503,0.24733039547218091,0.4771377993822863,3820,999,0.35941097724230253,MSFT_2024-12-02
0.28335981861180176,0.42810163778218757,0.5202410740266282,68094,98,0.9993587002992732,INTC_2024-08-02
0.40960126402755875,0.48079847138011617,0.6217258071007923,31735,583,0.9921319869969218,INTC_2024-02-01
0.20434360870829202,0.3357842321152499,0.5729556307495817,28966,369,0.9951475760138895,INTC_2024-04-01
-0.06067883347942772,0.5688180743788325,0.6384900318232604,72234,37,0.999802627461741,INTC_2024-10-01
0.521126251859636,0.4546712574754451,0.5589402028035878,68835,33,0.9997932413978805,INTC_2024-12-02
0.3231405852111624,0.14916741507416328,0.47159616353439665,12822,976,0.7375281262338675,AAPL_2024-02-01
0.03983263781992355,0.3390021491225293,0.6250121853833313,22012,706,0.9682198635402194,AAPL_2024-04-01
0.3493716256686004,0.242793103794887,0.6157465009714583,12225,943,0.8318032771281583,AAPL_2024-06-03
0.39712852699624285,0.39969259072934177,0.7603184833361839,5383,987,0.6792740430502728,AAPL_2024-08-01
0.38804945415105585,0.3938605415321942,0.6680644883446392,8108,983,0.6698385565052232,AAPL_2024-10-01
