sign,shares,n_fills,t_start,t_end,mid_start,mid_end
1.0,24,5,14400.958228558,14411.614996872,422.685,422.75
-1.0,41,1,14669.996819212,14669.996819212,422.345,422.185
1.0,2,1,14714.435972475,14714.435972475,421.945,422.14
-1.0,390,6,14722.570883944,14722.573134346,422.42,422.28
1.0,2,1,14741.702773133,14741.702773133,422.065,422.065
-1.0,19,2,14807.875975176,14829.770770019,421.885,421.1
1.0,18,5,14885.781440545,14966.954436374,421.39,421.77
-1.0,25,1,14966.954470859,14966.954470859,422.01,422.01
1.0,503,10,14967.181609312,15070.623414026,422.01,422.34
-1.0,540,6,15220.501698637,15250.58373695,422.435,422.325
1.0,314,4,15253.378799799,15294.838238984,422.215,422.25
-1.0,11,1,15298.944870623,15298.944870623,422.43,422.245
1.0,35,1,15370.795554665,15370.795554665,422.205,422.23
-1.0,15,1,15370.795775992,15370.795775992,422.43,422.32
1.0,489,13,15408.911179574,15423.978680711,422.42,422.565
-1.0,227,2,15431.596656073,15468.73627431,422.495,422.11
1.0,611,6,15586.545944548,15678.080370879,421.83,421.78
-1.0,257,13,15870.642380674,16730.277179208,421.795,420.915
1.0,110,2,16928.150400899,17059.168431055,420.925,421.22
-1.0,37,4,17141.969863538,17290.659275288,421.22,421.11
1.0,21,1,17303.478430992,17303.478430992,421.23,421.345
-1.0,837,2,17790.4460544,18075.19823235,421.45,421.125
1.0,10,1,18255.38832067,18255.38832067,420.815,420.985
-1.0,151,3,18386.535504809,18386.535704103,421.3,421.135
1.0,146,15,18526.440896944,19800.778326314,420.985,421.46
-1.0,58,5,19823.832997993,19955.819201706,421.54,421.435
1.0,1,1,20446.88259401,20446.88259401,421.435,421.46
-1.0,15,1,20924.900840266,20924.900840266,421.585,421.525
1.0,3,1,21053.760154526,21053.760154526,421.575,421.65
-1.0,55,1,21060.333564557,21060.333564557,421.625,421.575
1.0,188,1,21253.187108036,21253.187108036,421.555,421.555
-1.0,74,3,21407.664364118,21553.734189611,421.64,421.64
1.0,1007,12,21612.115123631,21735.133821578,421.66,421.725
-1.0,82,1,21793.609986726,21793.609986726,421.725,421.71
1.0,1231,7,21854.230146993,21855.191952586,421.68,421.72
-1.0,77,2,22003.271948495,22358.431850591,421.71,421.7
1.0,441,6,22432.733126642,22513.441900794,421.7,421.7
-1.0,200,2,22542.18909511,22542.18909511,421.7,421.625
1.0,1438,18,22667.384465946,24290.568865625,421.64,421.69
-1.0,185,4,24317.351056393,24328.76936643,421.705,421.69
1.0,2775,65,24482.331396141,25394.24324508,421.74,422.11
-1.0,50,2,25431.148951514,25431.148983592,422.15,422.085
1.0,332,15,25556.252760532,25927.650386667,422.095,422.685
-1.0,367,12,25952.74340084,26253.760512362,422.76,422.46
1.0,2,2,26393.001888135,26525.389243976,422.465,422.575
-1.0,102,2,26644.742068617,26644.742068617,422.45,422.34
1.0,17,3,26741.165602739,26927.931288868,422.215,422.55
-1.0,72,1,27012.414620386,27012.414620386,422.525,422.455
1.0,10,1,27221.496410005,27221.496410005,422.35,422.48
-1.0,432,28,27331.361487139,28256.656184065,422.37,422.3
1.0,361,5,28406.612610363,28454.995922104,422.325,422.585
-1.0,2,2,28455.006242285,28455.006242285,422.745,422.715
1.0,33,2,28455.006933367,28455.007668672,422.705,422.775
-1.0,57,3,28455.00864681,28455.008651226,422.785,422.755
1.0,6,1,28455.009463893,28455.009463893,422.72,422.72
-1.0,1,1,28455.009832024,28455.009832024,422.755,422.72
1.0,504,11,28455.010406388,28455.025666121,422.72,422.935
-1.0,127,4,28455.026182061,28455.026461294,422.94,422.915
1.0,156,5,28455.026789141,28455.028399214,422.905,422.935
-1.0,28,1,28455.028453912,28455.028453912,422.95,422.945
1.0,146,5,28455.030601613,28479.309833186,422.935,422.83
-1.0,128,3,28655.84373335,28655.843766166,423.03,422.985
1.0,127,3,28804.39014441,28809.90102039,422.84,422.72
-1.0,20,1,28909.266031929,28909.266031929,422.775,422.6
1.0,460,10,28972.400844636,29290.04075078,422.58,422.495
-1.0,100,2,29305.486252379,29305.486541113,422.565,422.53
1.0,70,3,29428.915200996,29517.884976894,422.455,422.635
-1.0,215,6,29650.635577331,29696.01202607,422.665,422.515
1.0,20,3,29812.255791348,29812.255818731,422.42,422.505
-1.0,12,2,29894.248654543,29910.573830621,422.58,422.62
1.0,6,2,29944.467908701,29955.346525992,422.515,422.62
-1.0,103,4,29973.641095289,30061.772230634,422.63,422.415
1.0,15,4,30069.289975031,30318.57211789,422.42,422.7
-1.0,603,12,30368.847292979,30792.357095327,422.665,422.65
1.0,200,1,30808.014863081,30808.014863081,422.485,422.635
-1.0,146,5,30879.153913137,31046.063961816,422.735,422.525
1.0,26,2,31051.080923369,31051.082688336,422.535,422.745
-1.0,1046,41,31149.219829316,31567.852438623,422.76,422.58
1.0,50,1,31621.066102061,31621.066102061,422.535,422.705
-1.0,218,7,31735.198558683,31755.894754334,422.67,422.39
1.0,106,2,31775.436033886,31775.436061136,422.29,422.445
-1.0,31,8,31924.135213387,31978.67998534,422.54,422.265
1.0,69,1,31982.68071775,31982.68071775,422.245,422.36
-1.0,279,9,31984.144833079,32117.485319078,422.37,422.16
1.0,82,1,32117.485340767,32117.485340767,422.12,422.16
-1.0,123,10,32148.550841747,32196.747851964,422.4,422.35
1.0,110,2,32432.748653436,32454.055466216,422.45,422.76
-1.0,56,2,32454.055500528,32454.055520653,422.85,422.85
1.0,125,2,32454.056440978,32454.056440978,422.825,422.875
-1.0,200,1,32454.057905752,32454.057905752,422.96,422.915
1.0,959,13,32454.058052246,32532.869974243,422.96,423.335
-1.0,27,4,32542.890484449,32542.890484449,423.335,423.245
1.0,554,1,32542.89050473,32542.89050473,423.145,423.245
-1.0,80,4,32542.890887992,32542.898898923,423.29,423.21
1.0,1,1,32572.152563729,32572.152563729,423.175,423.24
-1.0,116,10,32597.956252878,32694.589786127,423.335,423.06
1.0,5,1,32694.589835286,32694.589835286,423.05,423.06
-1.0,35,4,32694.590808712,32694.592875315,423.07,423.025
1.0,6,2,32733.173493665,32733.173512469,422.975,423.165
-1.0,634,16,32766.300729534,32998.051205535,423.195,422.705
1.0,10,2,32999.933236918,32999.934051906,422.595,422.665
-1.0,39,2,33001.964540254,33001.964540254,422.785,422.7
1.0,124,6,33002.363026433,33139.284641869,422.6,422.83
-1.0,96,9,33167.820625026,33423.299415781,422.98,422.85
1.0,86,1,33442.335535447,33442.335535447,422.765,422.865
-1.0,263,8,33569.326854054,33723.025343878,422.92,422.815
1.0,20,1,33765.098000658,33765.098000658,422.775,422.875
-1.0,180,8,33785.899775091,33861.159753001,422.765,422.635
1.0,8,3,33900.029268675,33900.02973623,422.75,422.87
-1.0,236,13,33900.059744398,33900.090375741,422.85,422.155
1.0,100,1,33900.090959743,33900.090959743,422.155,422.155
-1.0,260,7,33900.091154006,33900.091208459,422.155,421.965
1.0,180,5,33900.095384158,33910.123033781,421.945,422.565
-1.0,189,9,33910.123148716,33916.20267039,422.615,422.255
1.0,62,9,33923.566735628,33943.483650143,422.1,422.225
-1.0,50,1,33950.080606244,33950.080606244,422.225,422.17
1.0,31,2,33953.620106797,33957.692173886,422.06,422.145
-1.0,120,4,33961.652045104,33961.652904016,422.125,421.95
1.0,2,1,33961.653271279,33961.653271279,421.885,421.93
-1.0,22,1,33961.655595908,33961.655595908,421.975,421.945
1.0,1367,22,33963.720724511,33983.770355727,421.855,421.915
-1.0,141,11,33984.060792645,33999.650833883,421.915,421.905
1.0,103,4,34009.679879867,34023.838281997,421.825,421.915
-1.0,1323,8,34044.575222022,34060.09676099,421.965,421.71
1.0,710,9,34060.096780697,34070.051383345,421.525,421.55
-1.0,100,1,34080.195750768,34080.195750768,421.75,421.735
1.0,18,1,34080.237767119,34080.237767119,421.485,421.61
-1.0,546,9,34136.272049194,34137.111533485,421.895,421.895
1.0,294,6,34137.499314926,34137.50406375,421.895,421.945
-1.0,601,16,34169.02375028,34200.000273507,421.95,421.705
1.0,77,3,34200.839744856,34200.840076618,421.7,421.75
-1.0,96,6,34201.02067013,34201.105647104,421.8,421.63
1.0,129,5,34201.111023051,34201.111123042,421.505,421.575
-1.0,7,1,34201.112071948,34201.112071948,421.585,421.585
1.0,28,4,34201.112166859,34201.123003258,421.585,421.63
-1.0,6,2,34201.12311531,34201.203021358,421.65,421.64
1.0,3,1,34201.24677999,34201.24677999,421.645,421.67
-1.0,47,1,34201.246804298,34201.246804298,421.74,421.67
1.0,206,8,34201.313034181,34201.875457734,421.67,421.71
-1.0,27,1,34201.87547534,34201.87547534,421.71,421.71
1.0,241,7,34201.946528478,34202.082467825,421.76,421.725
-1.0,4,1,34202.082553263,34202.082553263,421.76,421.74
1.0,102,3,34202.082833065,34202.082833065,421.77,421.79
-1.0,5,2,34202.082980102,34202.082980102,421.77,421.745
1.0,404,7,34202.083168939,34202.084166104,421.715,421.83
-1.0,103,3,34202.624247799,34202.624272218,421.805,421.785
1.0,115,2,34202.624744533,34202.624836888,421.745,421.805
-1.0,4,1,34202.62487286,34202.62487286,421.805,421.765
1.0,300,3,34202.625107127,34202.625241244,421.825,421.83
-1.0,202,4,34202.625267346,34202.654350882,421.83,421.79
1.0,3,1,34202.654602155,34202.654602155,421.73,421.75
-1.0,1,1,34202.654895119,34202.654895119,421.82,421.77
1.0,1224,17,34202.654918512,34202.758082476,421.77,421.96
-1.0,529,6,34202.847070505,34202.896405133,421.96,421.885
1.0,200,2,34203.002215495,34203.002215495,421.82,421.855
-1.0,108,5,34203.003961625,34203.264305168,421.925,421.625
1.0,89,1,34203.265078108,34203.265078108,421.57,421.595
-1.0,2293,20,34203.43676783,34203.438773217,421.59,421.45
1.0,221,7,34203.442238505,34203.44264372,421.435,421.515
-1.0,835,6,34203.452693361,34203.50519835,421.545,421.38
1.0,145,5,34203.69310033,34203.721466449,421.38,421.38
-1.0,3,1,34203.742445763,34203.742445763,421.38,421.38
1.0,1498,18,34204.184322302,34204.734788448,421.38,421.755
-1.0,327,4,34205.062157319,34205.06217849,421.82,421.635
1.0,173,2,34205.147833963,34205.147833963,421.525,421.525
-1.0,1,1,34205.357653426,34205.357653426,421.665,421.525
1.0,592,3,34205.505791883,34205.505829444,421.48,421.525
-1.0,80,1,34206.409056646,34206.409056646,421.72,421.64
1.0,200,1,34209.226105039,34209.226105039,421.55,421.61
-1.0,239,2,34209.226363852,34209.22638462,421.61,421.445
1.0,102,3,34209.226388948,34210.515974164,421.445,421.525
-1.0,100,2,34210.516036889,34210.516044758,421.6,421.545
1.0,782,12,34211.561823183,34215.91666777,421.505,421.755
-1.0,5,1,34216.525291163,34216.525291163,421.87,421.825
1.0,1327,44,34218.57808503,34219.732891196,421.875,422.115
-1.0,62,5,34219.732912923,34220.437821838,422.175,422.025
1.0,179,5,34220.589050064,34221.695934876,422.025,422.075
-1.0,403,9,34222.304466301,34222.305106331,422.03,421.875
1.0,200,3,34222.307354669,34222.307380507,421.79,421.85
-1.0,206,14,34225.532028175,34225.628192136,421.79,421.62
1.0,744,13,34228.638564227,34232.776200218,421.66,421.93
-1.0,239,8,34233.904766933,34234.815850099,421.93,421.795
1.0,209,6,34234.921078876,34237.092229496,421.78,422.005
-1.0,1,1,34238.111839473,34238.111839473,422.05,422.0
1.0,55,2,34239.767936244,34239.968238109,421.95,422.045
-1.0,100,1,34239.974134763,34239.974134763,422.1,422.065
1.0,100,2,34240.34182317,34240.342543656,421.96,422.045
-1.0,11,1,34240.925214321,34240.925214321,422.085,422.045
1.0,29,2,34242.603213838,34242.603242463,421.965,421.995
-1.0,4,1,34242.650542215,34242.650542215,422.055,422.02
1.0,98,2,34244.30873116,34244.308833758,421.97,422.02
-1.0,1,1,34244.329223742,34244.329223742,422.05,422.02
1.0,100,1,34244.710655332,34244.710655332,422.035,422.05
-1.0,64,4,34245.878239295,34245.879054059,422.04,422.0
1.0,63,2,34247.11727071,34248.953567766,421.965,422.07
-1.0,542,15,34248.95358702,34253.413820681,422.07,421.905
1.0,309,12,34254.12764641,34254.128328482,421.945,422.0
-1.0,2,1,34256.270215227,34256.270215227,422.08,422.065
1.0,504,20,34257.151117682,34257.364505473,422.065,422.18
-1.0,280,4,34257.557165466,34257.610633458,422.205,422.105
1.0,48,7,34258.258473226,34258.261204358,422.115,422.16
-1.0,58,1,34258.274795154,34258.274795154,422.22,422.22
1.0,19,1,34258.274803073,34258.274803073,422.22,422.23
-1.0,22,3,34258.274822249,34258.274892089,422.23,422.185
1.0,61,1,34258.399429561,34258.399429561,422.105,422.175
