sec,signed_vol,mid
34470,768.0,24.77
34471,565.0,24.78
34472,74.0,24.785
34473,-102.0,24.795
34474,1914.0,24.815
34475,-100.0,24.82
34476,0.0,24.82
34477,-82.0,24.815
34478,460.0,24.82
34479,0.0,24.815
34480,4440.0,24.815
34481,498.0,24.815
34482,375.0,24.805
34483,-45.0,24.795
34484,0.0,24.795
34485,718.0,24.795
34486,-1781.0,24.785
34487,-1643.0,24.765
34488,-1562.0,24.73
34489,96.0,24.745
34490,1772.0,24.765
34491,2893.0,24.785
34492,1434.0,24.795
34493,-797.0,24.775
34494,423.0,24.775
34495,85.0,24.775
34496,1.0,24.755
34497,338.0,24.765
34498,-400.0,24.765
34499,-90.0,24.765
34500,-72.0,24.705
34501,-634.0,24.71
34502,1273.0,24.725
34503,0.0,24.73
34504,1885.0,24.745
34505,900.0,24.745
34506,-645.0,24.715
34507,1135.0,24.725
34508,670.0,24.725
34509,-1507.0,24.705
34510,1190.0,24.71
34511,-500.0,24.705
34512,-3187.0,24.695
34513,0.0,24.705
34514,3004.0,24.715
34515,500.0,24.745
34516,-660.0,24.745
34517,2729.0,24.775
34518,388.0,24.785
34519,1450.0,24.815
34520,538.0,24.835
34521,-34.0,24.835
34522,100.0,24.835
34523,0.0,24.835
34524,100.0,24.835
34525,-448.0,24.835
34526,101.0,24.825
34527,-1100.0,24.785
34528,0.0,24.785
34529,270.0,24.8
34530,0.0,24.795
34531,0.0,24.795
34532,-888.0,24.785
34533,258.0,24.795
34534,2143.0,24.795
34535,0.0,24.795
34536,0.0,24.795
34537,337.0,24.805
34538,0.0,24.805
34539,5213.0,24.845
34540,532.0,24.835
34541,465.0,24.835
34542,0.0,24.84
34543,-4843.0,24.835
34544,155.0,24.825
34545,0.0,24.825
34546,-619.0,24.815
34547,0.0,24.82
34548,-872.0,24.815
34549,222.0,24.825
34550,1075.0,24.835
34551,0.0,24.84
34552,900.0,24.845
34553,700.0,24.845
34554,0.0,24.845
34555,0.0,24.845
34556,576.0,24.855
34557,582.0,24.865
34558,-729.0,24.845
34559,-1842.0,24.805
34560,-287.0,24.795
34561,651.0,24.815
34562,0.0,24.815
34563,-3.0,24.815
34564,-1324.0,24.805
34565,1116.0,24.825
34566,125.0,24.835
34567,140.0,24.845
34568,-125.0,24.845
34569,467.0,24.865
34570,3270.0,24.895
34571,1616.0,24.905
34572,500.0,24.915
34573,-1144.0,24.905
34574,-612.0,24.905
34575,226.0,24.91
34576,429.0,24.905
34577,-17.0,24.905
34578,-100.0,24.905
34579,72.0,24.915
34580,0.0,24.915
34581,0.0,24.915
34582,-2694.0,24.905
34583,0.0,24.905
34584,0.0,24.905
34585,182.0,24.905
34586,0.0,24.905
34587,90.0,24.905
34588,0.0,24.905
34589,-842.0,24.895
34590,93.0,24.905
34591,-100.0,24.905
34592,0.0,24.905
34593,-6.0,24.905
34594,0.0,24.905
34595,0.0,24.905
34596,0.0,24.905
34597,0.0,24.905
34598,0.0,24.905
34599,1823.0,24.915
34600,1106.0,24.92
34601,0.0,24.93
34602,0.0,24.935
34603,294.0,24.935
34604,-982.0,24.935
34605,0.0,24.935
34606,432.0,24.945
34607,387.0,24.965
34608,-1800.0,24.945
34609,-128.0,24.935
34610,0.0,24.935
34611,-740.0,24.925
34612,1638.0,24.925
34613,-1124.0,24.925
34614,300.0,24.925
34615,2108.0,24.925
34616,0.0,24.925
34617,444.0,24.925
34618,0.0,24.925
34619,-2130.0,24.915
34620,281.0,24.925
34621,0.0,24.925
34622,120.0,24.905
34623,-2323.0,24.885
34624,0.0,24.885
34625,0.0,24.885
34626,0.0,24.885
34627,891.0,24.885
34628,-700.0,24.865
34629,-5050.0,24.835
34630,1087.0,24.845
34631,2159.0,24.855
34632,162.0,24.855
34633,-1885.0,24.855
34634,0.0,24.855
34635,0.0,24.855
34636,0.0,24.855
34637,-1560.0,24.855
34638,0.0,24.855
34639,2166.0,24.845
34640,9.0,24.845
34641,0.0,24.845
34642,0.0,24.845
34643,1381.0,24.845
34644,0.0,24.845
34645,-1933.0,24.825
34646,0.0,24.825
34647,-2180.0,24.825
34648,-66.0,24.825
34649,0.0,24.825
34650,0.0,24.825
34651,2550.0,24.845
34652,-896.0,24.825
34653,0.0,24.825
34654,-3938.0,24.805
34655,0.0,24.805
34656,-2018.0,24.785
34657,0.0,24.785
34658,0.0,24.785
34659,0.0,24.785
34660,144.0,24.785
34661,-440.0,24.765
34662,-2711.0,24.74
34663,0.0,24.745
34664,-875.0,24.735
34665,-700.0,24.725
34666,0.0,24.725
34667,700.0,24.735
34668,201.0,24.735
34669,0.0,24.735
34670,0.0,24.735
34671,0.0,24.735
34672,0.0,24.735
34673,0.0,24.735
34674,0.0,24.735
34675,0.0,24.735
34676,0.0,24.735
34677,0.0,24.735
34678,0.0,24.735
34679,0.0,24.735
34680,-1060.0,24.725
34681,-1384.0,24.715
34682,1049.0,24.725
34683,486.0,24.71
34684,-45.0,24.705
34685,-689.0,24.705
34686,-560.0,24.705
34687,-239.0,24.7
34688,4402.0,24.67
34689,140.0,24.67
34690,-152.0,24.67
34691,-1342.0,24.665
