sec,signed_vol,mid
34200,-476.0,415.615
34201,-17.0,415.63
34202,-699.0,415.44
34203,-1501.0,415.36
34204,48.0,415.45
34205,267.0,415.375
34206,-404.0,415.34
34207,87.0,415.42
34208,1412.0,415.805
34209,71.0,415.835
34210,-128.0,415.75
34211,-18.0,415.77
34212,0.0,415.775
34213,-3.0,415.785
34214,0.0,415.805
34215,4525.0,416.075
34216,-635.0,416.1
34217,2.0,416.115
34218,544.0,416.14
34219,0.0,416.075
34220,928.0,416.23
34221,-73.0,416.2
34222,-43.0,416.15
34223,99.0,416.205
34224,-8561.0,415.975
34225,-1238.0,415.9
34226,-140.0,415.865
34227,-178.0,415.715
34228,-17.0,415.68
34229,0.0,415.71
34230,658.0,415.865
34231,-8.0,415.82
34232,713.0,415.89
34233,0.0,415.85
34234,-158.0,415.72
34235,208.0,415.84
34236,-114.0,415.775
34237,-31.0,415.665
34238,150.0,415.72
34239,11.0,415.78
34240,-76.0,415.775
34241,45.0,415.765
34242,-14.0,415.75
34243,-200.0,415.6
34244,-1178.0,415.665
34245,0.0,415.625
34246,0.0,415.625
34247,-32.0,415.58
34248,0.0,415.645
34249,-61.0,415.65
34250,-213.0,415.55
34251,51.0,415.63
34252,-48.0,415.56
34253,-2257.0,415.31
34254,-3588.0,415.105
34255,-6134.0,414.895
34256,-410.0,414.915
34257,645.0,415.095
34258,44.0,415.02
34259,-153.0,414.915
34260,-154.0,414.865
34261,-7.0,414.795
34262,1.0,414.835
34263,0.0,414.89
34264,194.0,415.02
34265,-474.0,414.915
34266,45.0,415.115
34267,-182.0,415.3
34268,-149.0,415.33
34269,-122.0,415.24
34270,150.0,415.41
34271,1.0,415.455
34272,383.0,415.57
34273,-149.0,415.39
34274,-37.0,415.39
34275,-14.0,415.375
34276,-31.0,415.425
34277,0.0,415.465
34278,200.0,415.51
34279,-26.0,415.395
34280,0.0,415.445
34281,0.0,415.455
34282,0.0,415.455
34283,65.0,415.485
34284,-542.0,415.415
34285,139.0,415.49
34286,-80.0,415.555
34287,-122.0,415.445
34288,-96.0,415.435
34289,95.0,415.505
34290,-47.0,415.52
34291,-333.0,415.605
34292,-123.0,415.61
34293,126.0,415.785
34294,0.0,415.76
34295,-113.0,415.685
34296,-27.0,415.655
34297,0.0,415.72
34298,-120.0,415.72
34299,-3.0,415.665
34300,-393.0,415.615
34301,-1.0,415.705
34302,-779.0,415.455
34303,106.0,415.495
34304,290.0,415.39
34305,-122.0,415.335
34306,448.0,415.355
34307,1011.0,415.55
34308,-520.0,415.245
34309,-173.0,415.175
34310,0.0,415.165
34311,238.0,415.28
34312,1.0,415.295
34313,141.0,415.31
34314,55.0,415.365
34315,31.0,415.32
34316,0.0,415.32
34317,-200.0,415.265
34318,-180.0,415.215
34319,-69.0,415.195
34320,66.0,415.27
34321,-364.0,415.255
34322,-120.0,415.24
34323,-211.0,415.37
34324,32.0,415.635
34325,-50.0,415.775
34326,173.0,415.92
34327,-375.0,415.9
34328,-48.0,415.955
34329,-48.0,415.955
34330,-428.0,415.875
34331,-101.0,415.855
34332,0.0,415.885
34333,0.0,415.85
34334,0.0,415.885
34335,-319.0,415.765
34336,0.0,415.76
34337,0.0,415.75
34338,-5.0,415.685
34339,0.0,415.685
34340,0.0,415.685
34341,-99.0,415.685
34342,-17.0,415.695
34343,-183.0,415.695
34344,169.0,415.72
34345,141.0,415.92
34346,11.0,415.92
34347,581.0,416.17
34348,-360.0,416.16
34349,0.0,416.16
34350,-30.0,416.19
34351,4.0,416.195
34352,-19.0,416.24
34353,-61.0,416.24
34354,-33.0,416.155
34355,-150.0,416.185
34356,-27.0,416.29
34357,-173.0,416.28
