sign,shares,n_fills,t_start,t_end,mid_start,mid_end
-1.0,51,3,14405.048267028,14502.023784899,173.425,171.65
1.0,98,5,14540.354772724,14626.844990763,171.62,171.82
-1.0,320,18,14629.807237672,14812.340707705,171.88,171.7
1.0,14,4,14922.049074062,15004.868795501,171.695,171.7
-1.0,24,3,15030.240429895,15030.24049392,171.665,171.665
1.0,3,2,15034.231663827,15039.394935273,171.665,171.665
-1.0,214,8,15043.52882859,15043.529022118,171.665,171.585
1.0,25,2,15098.379134734,15098.379134734,171.61,171.615
-1.0,1,1,15227.59200784,15227.59200784,171.655,171.64
1.0,479,16,15237.504155411,15514.969308792,171.64,171.715
-1.0,101,2,15519.520664628,15568.584296839,171.74,171.695
1.0,1105,39,15581.638901476,15999.830780673,171.695,171.735
-1.0,35,7,16080.459603925,16090.661739065,171.775,171.725
1.0,210,5,16099.710897363,16315.812084576,171.675,171.735
-1.0,3,3,16366.815791802,16372.224508215,171.74,171.715
1.0,45,2,16397.248776804,16397.248776804,171.715,171.725
-1.0,255,11,16397.249381901,16632.900373253,171.74,171.72
1.0,143,4,16697.385962899,16753.510387022,171.71,171.73
-1.0,51,2,16801.017596459,16801.017629169,171.715,171.71
1.0,1,1,16805.701429401,16805.701429401,171.705,171.705
-1.0,121,12,16863.667441952,16978.159064052,171.73,171.68
1.0,56,3,17043.694586059,17051.480802763,171.665,171.675
-1.0,4,3,17201.573344914,17201.573344914,171.69,171.675
1.0,50,1,17255.545981836,17255.545981836,171.675,171.68
-1.0,260,15,17284.922610718,17622.325742843,171.705,171.62
1.0,2,1,17623.826007847,17623.826007847,171.62,171.645
-1.0,385,6,17623.826043341,17649.123345803,171.695,171.695
1.0,548,12,17671.062968536,17734.149500911,171.65,171.755
-1.0,4,1,17753.199149548,17753.199149548,171.78,171.745
1.0,6,1,17755.12287853,17755.12287853,171.72,171.745
-1.0,4,3,17765.455910106,17821.478397913,171.775,171.745
1.0,232,2,17821.478427201,17821.478469292,171.695,171.745
-1.0,1,1,17909.226987703,17909.226987703,171.76,171.755
1.0,20,1,17909.227208791,17909.227208791,171.715,171.755
-1.0,1,1,17931.808469591,17931.808469591,171.75,171.74
1.0,456,16,17938.437560091,18105.879723938,171.7,171.75
-1.0,8,2,18253.770101834,18314.081776708,171.75,171.75
1.0,950,18,18343.02740541,18343.034153477,171.75,171.75
-1.0,13,2,18436.060438589,18468.469800532,171.86,171.875
1.0,14,7,18505.058464927,18614.253616803,171.83,171.88
-1.0,20,1,18630.077659558,18630.077659558,171.895,171.85
1.0,1,1,18672.233808725,18672.233808725,171.87,171.87
-1.0,4,2,18706.606921169,18706.606921169,171.87,171.87
1.0,44,4,18708.677086147,18763.070696553,171.87,171.875
-1.0,31,5,18794.072601517,18904.939799424,171.875,171.86
1.0,10,2,18979.383089019,18979.383089019,171.86,171.86
-1.0,1,1,19037.72707873,19037.72707873,171.865,171.865
1.0,18,3,19074.400704546,19084.655819853,171.865,171.865
-1.0,99,8,19122.893996217,19289.422423382,171.865,171.855
1.0,86,5,19292.368014144,19362.26225959,171.855,171.875
-1.0,6,5,19368.942566371,19414.431159477,171.875,171.875
1.0,5,1,19436.894105554,19436.894105554,171.87,171.875
-1.0,4,4,19442.980025099,19537.985624945,171.875,171.865
1.0,15,1,19605.684352775,19605.684352775,171.855,171.87
-1.0,115,10,19660.187122613,19958.352476412,171.875,171.87
1.0,30,2,20099.450750365,20099.450775507,171.875,171.875
-1.0,2,1,20152.885811208,20152.885811208,171.875,171.875
1.0,2,1,20158.017415263,20158.017415263,171.875,171.875
-1.0,54,20,20169.62685398,20207.0321527,171.875,171.79
1.0,594,10,20207.032187871,20263.152237118,171.74,171.765
-1.0,26,9,20320.460333847,20489.493717763,171.78,171.725
1.0,90,3,20550.518076791,20550.518107178,171.735,171.785
-1.0,86,8,20840.475075171,21009.207778359,171.825,171.785
1.0,1,1,21019.432985847,21019.432985847,171.735,171.785
-1.0,15,6,21021.143366948,21272.197688386,171.8,171.77
1.0,1,1,21274.899043803,21274.899043803,171.77,171.785
-1.0,1,1,21282.175647975,21282.175647975,171.785,171.785
1.0,5,1,21334.702147322,21334.702147322,171.795,171.815
-1.0,1,1,21393.192984843,21393.192984843,171.83,171.815
1.0,32,3,21475.006705604,21515.308482729,171.79,171.825
-1.0,5,2,21526.484741356,21526.484741356,171.825,171.815
1.0,18,6,21674.546365195,21810.245542191,171.82,171.85
-1.0,2,2,21903.884178114,21926.619446725,171.885,171.845
1.0,6,3,22049.230566989,22068.264246715,171.85,171.855
-1.0,65,14,22179.943394902,22599.140084653,171.87,171.85
1.0,10,7,22647.523690474,22838.516991282,171.84,171.85
-1.0,300,27,22915.158864635,23135.328824539,171.85,171.815
1.0,1,1,23299.08341604,23299.08341604,171.795,171.795
-1.0,2,2,23302.929177785,23302.929177785,171.795,171.79
1.0,9,1,23302.92977667,23302.92977667,171.785,171.785
-1.0,239,34,23302.9298471,23448.227972562,171.785,171.7
1.0,26,5,23448.281098734,23532.217126523,171.695,171.695
-1.0,215,36,23534.179915479,23620.41256935,171.695,171.59
1.0,58,5,23625.177975131,23662.233962982,171.535,171.615
-1.0,1,1,23831.072878781,23831.072878781,171.69,171.655
1.0,2,2,23844.915823262,23856.609685687,171.645,171.655
-1.0,5,2,23856.609739648,23871.992235202,171.69,171.655
1.0,5,1,23876.628721644,23876.628721644,171.68,171.68
-1.0,95,11,23880.360779872,24097.366730164,171.68,171.65
1.0,21,7,24141.072895488,24178.850225672,171.63,171.65
-1.0,1,1,24252.021218815,24252.021218815,171.655,171.63
1.0,4,3,24258.591097514,24292.664263144,171.63,171.65
-1.0,11,3,24338.366264927,24382.744738316,171.68,171.65
1.0,5,1,24407.555204226,24407.555204226,171.65,171.695
-1.0,55,6,24484.671937603,24687.054050684,171.76,171.74
1.0,1,1,24801.765500943,24801.765500943,171.71,171.745
-1.0,30,9,24822.254036896,25062.097812674,171.71,171.635
1.0,50,1,25104.056877938,25104.056877938,171.62,171.62
-1.0,247,15,25117.556240246,25131.147306616,171.645,171.565
1.0,105,6,25173.005141673,25200.050523069,171.56,171.56
-1.0,10,1,25200.691504941,25200.691504941,171.65,171.605
1.0,109,4,25247.51581507,25587.564280538,171.575,171.605
-1.0,13,6,25595.028958311,25608.024595835,171.605,171.545
1.0,11,2,25622.345696405,25622.345704115,171.54,171.56
-1.0,6,1,25793.32904347,25793.32904347,171.59,171.57
1.0,300,2,25798.805159438,25798.805208954,171.55,171.58
-1.0,6,4,25827.033702225,25834.082098174,171.55,171.545
1.0,392,4,25845.37652005,25874.235500473,171.545,171.585
-1.0,3103,81,25928.500546148,26088.125776857,171.575,171.44
1.0,3,2,26102.432485569,26106.735838917,171.425,171.44
-1.0,185,8,26107.937904061,26111.668364255,171.44,171.43
1.0,1,1,26119.883445069,26119.883445069,171.43,171.485
-1.0,1,1,26136.124663619,26136.124663619,171.48,171.46
1.0,425,8,26146.324219899,26277.870960471,171.435,171.52
-1.0,50,1,26278.795612984,26278.795612984,171.52,171.52
1.0,44,9,26304.224834881,26367.844345081,171.485,171.52
-1.0,318,22,26389.146113935,26513.902811851,171.525,171.465
1.0,4,2,26573.984259075,26626.08958222,171.46,171.485
