sec,signed_vol,mid
34200,-2400.0,229.39
34201,-4226.0,229.025
34202,6161.0,229.15
34203,1450.0,229.145
34204,1416.0,229.135
34205,4226.0,229.145
34206,1009.0,229.125
34207,-747.0,229.08
34208,-275.0,229.08
34209,-719.0,229.04
34210,-45084.0,228.845
34211,1063.0,228.89
34212,-311.0,228.805
34213,571.0,228.74
34214,507.0,228.75
34215,2012.0,228.795
34216,-1199.0,228.66
34217,-606.0,228.675
34218,-342.0,228.705
34219,732.0,228.735
34220,-636.0,228.7
34221,2406.0,228.865
34222,1773.0,228.905
34223,-255.0,228.835
34224,2189.0,228.945
34225,-385.0,228.85
34226,974.0,228.89
34227,251.0,228.97
34228,-310.0,228.94
34229,-467.0,228.95
34230,-904.0,228.955
34231,-2491.0,228.825
34232,490.0,228.885
34233,-138.0,228.86
34234,-85.0,228.775
34235,-2111.0,228.705
34236,-612.0,228.655
34237,1373.0,228.655
34238,-637.0,228.66
34239,-791.0,228.665
34240,-279.0,228.65
34241,178.0,228.66
34242,-512.0,228.665
34243,866.0,228.74
34244,-1513.0,228.68
34245,-581.0,228.635
34246,-19937.0,228.465
34247,474.0,228.66
34248,3119.0,228.635
34249,913.0,228.67
34250,-249.0,228.61
34251,-100.0,228.585
34252,-1307.0,228.48
34253,-219.0,228.54
34254,-835.0,228.57
34255,154.0,228.665
34256,-1309.0,228.725
34257,329.0,228.8
34258,-127.0,228.74
34259,122.0,228.75
34260,-831.0,228.63
34261,-40.0,228.65
34262,-1498.0,228.6
34263,-2481.0,228.59
34264,-7031.0,228.485
34265,-66.0,228.51
34266,-4310.0,228.405
34267,-243.0,228.435
34268,-564.0,228.415
34269,-496.0,228.37
34270,352.0,228.435
34271,-1144.0,228.425
34272,400.0,228.475
34273,-350.0,228.45
34274,-146.0,228.45
34275,2079.0,228.545
34276,48.0,228.55
34277,-100.0,228.505
34278,0.0,228.515
34279,-2848.0,228.38
34280,-1262.0,228.31
34281,2615.0,228.32
34282,605.0,228.34
34283,-324.0,228.425
34284,410.0,228.295
34285,635.0,228.385
34286,-452.0,228.335
34287,500.0,228.315
34288,152.0,228.375
34289,1111.0,228.41
34290,-205.0,228.38
34291,100.0,228.375
34292,-205.0,228.475
34293,-1179.0,228.405
34294,47.0,228.48
34295,180.0,228.455
34296,50.0,228.44
34297,968.0,228.595
