sign,shares,n_fills,t_start,t_end,mid_start,mid_end
-1.0,11,5,14406.964091122,14413.500410691,185.82,185.745
1.0,400,1,14417.426988319,14417.426988319,185.65,185.745
-1.0,1,1,14422.932692019,14422.932692019,185.765,185.755
1.0,133,2,14425.083822485,14460.311720709,185.66,185.76
-1.0,31,4,14473.477308252,14513.764095479,185.77,185.76
1.0,125,2,14541.745119093,14605.351243033,185.73,185.805
-1.0,25,1,14605.351261836,14605.351261836,185.885,185.885
1.0,428,5,14605.351308631,14605.351425223,185.885,185.97
-1.0,968,7,14605.351696771,14684.12564094,185.965,185.785
1.0,2,2,14699.815475133,14757.199651078,185.785,185.78
-1.0,12,5,14767.10279193,14806.031306849,185.78,185.73
1.0,100,1,14816.339677739,14816.339677739,185.735,185.735
-1.0,1,1,14825.523305623,14825.523305623,185.735,185.73
1.0,178,7,14825.984002778,14867.740632066,185.73,185.85
-1.0,401,3,14928.028223754,15141.321695645,185.875,185.905
1.0,7,2,15195.729030744,15195.73092508,185.845,185.845
-1.0,13,6,15205.851249575,15253.385916444,185.845,185.825
1.0,2,2,15267.557933372,15277.349804146,185.825,185.825
-1.0,17,3,15278.549844284,15337.380634232,185.845,185.845
1.0,50,2,15356.802609107,15356.802609107,185.845,185.895
-1.0,181,15,15428.961238024,15668.494350397,185.91,185.785
1.0,30,3,15832.566327872,16097.453080288,185.745,185.775
-1.0,77,8,16117.260874484,16117.260881704,185.775,185.755
1.0,13,3,16148.411806683,16160.619212714,185.765,185.755
-1.0,6,3,16163.840759806,16163.840759806,185.755,185.745
1.0,18,1,16223.796927479,16223.796927479,185.765,185.815
-1.0,11,7,16358.143834423,16374.874992399,185.795,185.79
1.0,51,1,16429.12145608,16429.12145608,185.76,185.8
-1.0,289,3,16500.567723652,16510.518697233,185.805,185.78
1.0,160,3,16521.003106368,16544.504917177,185.735,185.735
-1.0,371,26,16573.385187559,16667.919821239,185.735,185.64
1.0,3,1,16678.168110461,16678.168110461,185.625,185.64
-1.0,336,12,16693.867486404,16803.474992556,185.64,185.525
1.0,15,3,16807.055162094,16838.818849191,185.475,185.475
-1.0,106,7,16843.707569206,16843.708053374,185.475,185.45
1.0,7,3,16891.036032714,16950.043103279,185.49,185.55
-1.0,14,5,16975.324197867,17118.467312718,185.57,185.54
1.0,22,3,17148.343275987,17170.478720414,185.505,185.54
-1.0,3,2,17323.729076101,17323.729076101,185.545,185.54
1.0,17,1,17324.186731351,17324.186731351,185.505,185.54
-1.0,4,4,17416.295997659,17467.322653621,185.565,185.515
1.0,13,2,17498.328907177,17508.545982354,185.485,185.515
-1.0,2,2,17513.854169157,17561.151086835,185.525,185.53
1.0,5,1,17574.03244761,17574.03244761,185.545,185.56
-1.0,5,3,17601.517995606,17735.917123361,185.565,185.565
1.0,206,6,17840.779123189,17843.671849682,185.565,185.59
-1.0,185,27,17992.968631339,18074.36267851,185.595,185.445
1.0,27,3,18121.784135765,18121.784135765,185.38,185.44
-1.0,12,6,18166.350518624,18166.434078861,185.455,185.38
1.0,9,1,18232.192857131,18232.192857131,185.32,185.37
-1.0,2,2,18271.385092651,18352.55641027,185.41,185.41
1.0,1,1,18414.031374521,18414.031374521,185.395,185.425
-1.0,37,8,18440.239835636,18593.906441453,185.425,185.36
1.0,1124,7,18709.022980271,18818.618723272,185.38,185.38
-1.0,1,1,18819.310540915,18819.310540915,185.38,185.38
1.0,426,9,18843.095584052,18846.395680032,185.38,185.38
-1.0,1,1,18866.237649113,18866.237649113,185.38,185.375
1.0,239,4,18876.74449843,18891.362685135,185.355,185.375
-1.0,7,3,18937.990799828,18937.990799828,185.375,185.365
1.0,5,2,19333.935623706,19359.23998208,185.38,185.395
-1.0,24,8,19368.029359047,19537.200923539,185.395,185.375
1.0,789,5,19551.002696551,19605.342694077,185.375,185.375
-1.0,4,1,19628.172634323,19628.172634323,185.395,185.375
1.0,8,4,19631.725310145,19679.486451621,185.375,185.37
-1.0,7,4,19694.850469927,19694.850469927,185.37,185.36
1.0,21,2,19694.902019892,19746.290178556,185.34,185.36
-1.0,13,8,19753.270813471,19939.631044843,185.37,185.33
1.0,629,12,19999.841004726,20118.475866595,185.33,185.42
-1.0,1801,9,20245.835278351,20607.293081915,185.425,185.425
1.0,50,6,20683.16581306,21022.067809063,185.395,185.49
-1.0,715,14,21088.034750737,21166.320425661,185.525,185.505
1.0,35,7,21239.657470805,21314.095299747,185.49,185.535
-1.0,25,1,21339.715883769,21339.715883769,185.545,185.545
1.0,1,1,21365.324401574,21365.324401574,185.545,185.545
-1.0,125,1,21367.396697003,21367.396697003,185.545,185.525
1.0,299,5,21373.701173384,21439.920417686,185.525,185.59
-1.0,1,1,21442.097624433,21442.097624433,185.59,185.59
1.0,802,10,21448.13925015,21469.291741186,185.59,185.65
-1.0,2,1,21514.20117443,21514.20117443,185.64,185.64
1.0,12,5,21518.510736158,21569.363382064,185.64,185.665
-1.0,1,1,21679.173906959,21679.173906959,185.69,185.675
1.0,5,2,21682.705524236,21689.947089992,185.665,185.705
-1.0,2,2,21693.739218792,21693.810729606,185.705,185.685
1.0,32,5,21725.78855689,21813.769592793,185.68,185.705
-1.0,807,102,21830.81772935,22649.695787368,185.735,185.285
1.0,26,4,22652.602724473,22688.561353013,185.275,185.375
-1.0,1,1,22708.083619768,22708.083619768,185.395,185.375
1.0,110,3,22762.535576633,22786.881239874,185.295,185.33
-1.0,321,36,22857.575756313,23003.605785353,185.335,185.19
1.0,188,5,23005.515521906,23021.259554263,185.19,185.2
-1.0,490,16,23065.695582325,23207.050300278,185.275,185.2
1.0,7,2,23208.171646767,23221.383641531,185.135,185.185
-1.0,2,2,23235.851090116,23235.851090116,185.225,185.185
1.0,1,1,23235.98730209,23235.98730209,185.12,185.185
-1.0,130,21,23254.830830146,23426.093669419,185.195,185.12
1.0,40,2,23437.676472971,23437.676472971,185.125,185.125
-1.0,1,1,23447.002053376,23447.002053376,185.22,185.165
