sec,signed_vol,mid
34473,1259.0,223.645
34474,0.0,223.63
34475,-1354.0,223.6
34476,829.0,223.635
34477,-24.0,223.62
34478,-138.0,223.585
34479,-68.0,223.6
34480,47.0,223.585
34481,-2095.0,223.57
34482,-206.0,223.42
34483,-24.0,223.425
34484,1322.0,223.45
34485,-340.0,223.425
34486,-5113.0,223.3
34487,240.0,223.325
34488,112.0,223.325
34489,-177.0,223.285
34490,643.0,223.355
34491,-344.0,223.285
34492,-513.0,223.27
34493,90.0,223.25
34494,-342.0,223.26
34495,187.0,223.275
34496,-18.0,223.295
34497,55.0,223.3
34498,352.0,223.29
34499,-577.0,223.29
34500,-25.0,223.215
34501,-614.0,223.145
34502,-161.0,223.125
34503,-562.0,223.09
34504,-37.0,223.07
34505,-6576.0,223.025
34506,-157.0,222.985
34507,127.0,223.02
34508,4.0,223.01
34509,-726.0,222.935
34510,-526.0,222.95
34511,921.0,223.0
34512,-120.0,223.09
34513,936.0,223.12
34514,37.0,223.18
34515,593.0,223.215
34516,7.0,223.21
34517,-995.0,223.17
34518,-734.0,223.115
34519,-526.0,223.06
34520,-99.0,223.06
34521,-69.0,223.04
34522,340.0,223.045
34523,844.0,223.045
34524,629.0,223.125
34525,-161.0,223.11
34526,-588.0,223.115
34527,2.0,223.065
34528,-4318.0,223.075
34529,1075.0,223.095
34530,879.0,223.14
34531,-16.0,223.115
34532,-25.0,223.115
34533,-1353.0,223.13
34534,415.0,223.16
34535,998.0,223.175
34536,475.0,223.2
34537,1102.0,223.27
34538,-288.0,223.26
34539,-871.0,223.185
34540,-521.0,223.175
34541,-3034.0,223.115
34542,-2260.0,222.94
34543,175.0,222.94
34544,162.0,222.93
34545,662.0,222.985
34546,110.0,223.0
34547,-237.0,222.985
34548,233.0,222.9
34549,-296.0,222.885
34550,158.0,222.875
34551,-2.0,222.895
34552,534.0,222.955
34553,-200.0,222.93
34554,482.0,222.965
34555,0.0,222.955
34556,-972.0,222.93
34557,138.0,222.965
34558,254.0,222.975
34559,-42.0,222.97
34560,-109.0,222.975
34561,258.0,223.01
34562,154.0,223.025
34563,796.0,223.08
34564,-470.0,223.09
34565,320.0,223.175
34566,-35.0,223.195
34567,314.0,223.25
34568,228.0,223.255
34569,-1216.0,223.21
34570,-1806.0,223.18
