sec,signed_vol,volume,mid
34200,2348.0,11820.0,192.99
34201,-2538.0,4644.0,192.965
34202,14558.0,16792.0,192.985
34203,-6236.0,7798.0,192.98
34204,1080.0,2154.0,192.985
34205,5.0,5075.0,192.965
34206,-277.0,2805.0,192.97
34207,-3446.0,4250.0,192.945
34208,-915.0,1645.0,192.96
34209,-133.0,1175.0,192.955
34210,-4506.0,7726.0,192.925
34211,319.0,571.0,192.925
34212,6157.0,6495.0,192.98
34213,-1151.0,1529.0,192.95
34214,424.0,524.0,192.96
34215,6837.0,15179.0,193.045
34216,2021.0,2823.0,193.035
34217,1002.0,1002.0,193.045
34218,159.0,315.0,193.035
34219,274.0,618.0,193.025
34220,1488.0,1888.0,193.065
34221,554.0,674.0,193.055
34222,979.0,1141.0,193.055
34223,23.0,1657.0,193.015
34224,2505.0,2789.0,193.16
34225,4822.0,14792.0,193.195
34226,-1126.0,3182.0,193.065
34227,2174.0,3530.0,193.01
34228,2269.0,3487.0,193.04
34229,77.0,77.0,193.065
34230,12.0,886.0,193.09
34231,50.0,50.0,193.095
34232,536.0,600.0,193.14
34233,516.0,986.0,193.185
34234,527.0,969.0,193.185
34235,-61.0,403.0,193.185
34236,538.0,544.0,193.25
34237,610.0,972.0,193.27
34238,1668.0,1990.0,193.32
34239,-3240.0,3240.0,193.22
34240,273.0,425.0,193.225
34241,-782.0,4226.0,193.085
34242,-302.0,4836.0,192.99
34243,3783.0,11069.0,193.08
34244,848.0,3280.0,193.125
34245,249.0,507.0,193.1
34246,698.0,1206.0,193.16
34247,301.0,717.0,193.155
34248,0.0,0.0,193.16
34249,828.0,2040.0,193.16
34250,-212.0,444.0,193.085
34251,1381.0,2359.0,193.11
34252,613.0,613.0,193.115
34253,1206.0,1566.0,193.185
34254,1100.0,1302.0,193.295
34255,-351.0,2419.0,193.27
34256,1104.0,1822.0,193.26
34257,252.0,652.0,193.275
34258,982.0,994.0,193.305
34259,-33.0,825.0,193.315
34260,657.0,1047.0,193.28
34261,9799.0,10499.0,193.355
34262,1247.0,1999.0,193.265
34263,-2411.0,2467.0,193.18
34264,4592.0,6014.0,193.245
34265,158.0,1640.0,193.175
34266,909.0,909.0,193.23
34267,-2094.0,6776.0,193.3
34268,60.0,418.0,193.305
34269,-603.0,821.0,193.295
34270,509.0,795.0,193.37
34271,402.0,862.0,193.345
34272,-204.0,218.0,193.335
34273,525.0,925.0,193.345
34274,13.0,13.0,193.33
34275,121.0,121.0,193.33
34276,-1846.0,1852.0,193.225
34277,786.0,1668.0,193.265
34278,858.0,1562.0,193.335
34279,386.0,388.0,193.33
34280,-270.0,380.0,193.305
34281,119.0,119.0,193.305
34282,90.0,506.0,193.255
34283,199.0,1149.0,193.245
34284,563.0,669.0,193.26
34285,423.0,423.0,193.27
34286,351.0,949.0,193.285
34287,-48.0,152.0,193.295
34288,-100.0,100.0,193.265
34289,-10.0,10.0,193.255
34290,-608.0,1674.0,193.22
34291,-511.0,1907.0,193.205
34292,316.0,1316.0,193.21
34293,-4126.0,5540.0,193.145
34294,-1982.0,4670.0,193.02
34295,22.0,848.0,193.015
34296,984.0,1384.0,193.02
34297,187.0,387.0,193.025
34298,-321.0,383.0,193.025
34299,97.0,213.0,193.02
34300,-2176.0,2808.0,192.93
34301,-900.0,900.0,192.825
34302,1247.0,3287.0,192.85
34303,622.0,1348.0,192.81
34304,-790.0,1698.0,192.75
34305,-945.0,6003.0,192.685
34306,-175.0,4439.0,192.635
34307,827.0,7405.0,192.595
34308,2417.0,3271.0,192.59
34309,1317.0,2801.0,192.64
34310,0.0,0.0,192.645
34311,-607.0,807.0,192.635
34312,2280.0,2480.0,192.685
34313,299.0,899.0,192.695
34314,50.0,50.0,192.695
34315,4234.0,4634.0,192.75
34316,0.0,0.0,192.75
34317,-117.0,1313.0,192.72
34318,355.0,747.0,192.795
34319,216.0,550.0,192.785
34320,134.0,134.0,192.795
34321,107.0,311.0,192.785
34322,-28.0,880.0,192.765
34323,-1059.0,2867.0,192.735
34324,419.0,1981.0,192.72
34325,225.0,1417.0,192.73
34326,-441.0,891.0,192.725
