sign,shares,n_fills,t_start,t_end,mid_start,mid_end
-1.0,5932,14,14400.126739325,14414.690662492,23.22,23.14
1.0,1446,3,14414.707488335,14414.707715582,23.03,23.145
-1.0,730,5,14416.909222432,14427.58546372,23.24,23.2
1.0,2109,18,14427.721169825,14431.083091973,23.2,23.3
-1.0,44,2,14431.295869865,14431.29587347,23.3,23.3
1.0,1595,11,14431.438412244,14449.248812194,23.3,23.32
-1.0,1786,10,14454.705517416,14465.301128678,23.32,23.205
1.0,68,1,14469.123281188,14469.123281188,23.185,23.185
-1.0,1239,4,14474.554082723,14475.901480335,23.17,23.145
1.0,31,3,14478.117280072,14479.023578875,23.135,23.135
-1.0,1392,2,14479.222926421,14479.222926421,23.135,23.13
1.0,289,5,14479.313339349,14480.29772067,23.125,23.15
-1.0,1222,6,14480.513762594,14480.515255467,23.14,23.11
1.0,7,3,14480.988249816,14481.768866816,23.11,23.115
-1.0,37,1,14482.438499344,14482.438499344,23.14,23.14
1.0,181,3,14485.297585309,14486.818777663,23.12,23.12
-1.0,500,2,14488.297244124,14488.297244124,23.12,23.12
1.0,14824,10,14489.762165304,14490.784111804,23.12,23.175
-1.0,100,1,14491.003015424,14491.003015424,23.17,23.165
1.0,500,5,14491.292454517,14493.773032977,23.125,23.14
-1.0,156,2,14494.110881283,14494.26471444,23.195,23.155
1.0,257,8,14495.703987761,14502.063698496,23.17,23.185
-1.0,50,1,14502.422012557,14502.422012557,23.185,23.18
1.0,100,2,14502.737643308,14503.328838405,23.18,23.18
-1.0,700,8,14504.090617695,14508.706691343,23.18,23.135
1.0,201,4,14508.725881639,14509.108693932,23.135,23.155
-1.0,100,1,14510.698221843,14510.698221843,23.145,23.14
1.0,599,6,14510.745652685,14513.198491103,23.145,23.16
-1.0,3210,6,14514.690401329,14514.69047667,23.165,23.15
1.0,100,3,14516.350529683,14517.397287258,23.135,23.145
-1.0,539,4,14517.44353213,14517.443769179,23.15,23.125
1.0,220,5,14517.609554489,14518.41507937,23.125,23.15
-1.0,3107,13,14518.659811157,14528.617947452,23.175,23.12
1.0,1,1,14528.6252512,14528.6252512,23.095,23.095
-1.0,1097,5,14529.225110148,14529.225139987,23.095,23.09
1.0,68,1,14529.267230199,14529.267230199,23.09,23.09
-1.0,2446,11,14530.80052453,14532.676566954,23.09,23.075
1.0,100,1,14533.054091381,14533.054091381,23.07,23.08
-1.0,73,1,14534.733413593,14534.733413593,23.08,23.08
1.0,10,2,14536.106121341,14537.520793827,23.065,23.065
-1.0,277,2,14537.571801488,14537.659837862,23.065,23.065
1.0,100,2,14537.864659425,14537.878619157,23.06,23.065
-1.0,723,5,14542.415937286,14542.907822785,23.06,23.05
1.0,100,2,14543.621134775,14544.984125666,23.045,23.055
-1.0,200,2,14548.705027832,14548.705027832,23.04,23.035
1.0,600,6,14549.404404378,14549.407221114,23.03,23.065
-1.0,606,6,14550.06000929,14550.064047342,23.085,23.035
1.0,1587,9,14551.390419092,14551.576543601,23.035,23.13
-1.0,210,3,14551.576583935,14556.524229547,23.175,23.065
1.0,804,17,14556.524257287,14556.76998575,23.015,23.06
-1.0,8,1,14557.522160828,14557.522160828,23.09,23.09
1.0,102,3,14561.100357301,14564.533112373,23.09,23.09
-1.0,300,1,14566.965450604,14566.965450604,23.09,23.09
1.0,2458,5,14569.550344495,14569.617238745,23.085,23.09
-1.0,800,6,14575.621887527,14579.164298436,23.085,23.07
1.0,200,1,14580.149058656,14580.149058656,23.07,23.07
-1.0,867,3,14581.426158967,14581.426158967,23.065,23.06
1.0,100,1,14582.155230153,14582.155230153,23.065,23.07
-1.0,1950,3,14583.835832476,14583.835872596,23.065,23.055
1.0,265,4,14584.543143544,14592.957851764,23.06,23.08
-1.0,16,1,14595.625776857,14595.625776857,23.08,23.08
1.0,2284,10,14599.049957257,14612.61394062,23.075,23.06
-1.0,100,1,14613.718258016,14613.718258016,23.06,23.06
1.0,1,1,14620.41074992,14620.41074992,23.055,23.06
-1.0,64,3,14624.835747047,14625.177458318,23.06,23.055
1.0,100,1,14627.671464694,14627.671464694,23.05,23.055
-1.0,50,1,14627.870993772,14627.870993772,23.065,23.055
1.0,22284,16,14628.641776531,14637.325984963,23.055,23.135
-1.0,200,2,14639.261922226,14639.267938303,23.14,23.125
1.0,774,7,14639.30511683,14639.330577898,23.105,23.12
-1.0,3,1,14642.484936171,14642.484936171,23.125,23.12
1.0,1151,10,14649.684321562,14658.606866969,23.11,23.17
-1.0,349,4,14660.242277037,14661.68431527,23.185,23.16
1.0,24,1,14662.586333962,14662.586333962,23.16,23.19
-1.0,1091,1,14662.586556232,14662.586556232,23.225,23.195
1.0,36,1,14671.373498709,14671.373498709,23.18,23.18
-1.0,200,1,14672.954111759,14672.954111759,23.19,23.175
1.0,1064,4,14677.951607947,14685.058953659,23.19,23.225
-1.0,36,1,14685.971577192,14685.971577192,23.215,23.21
1.0,397,7,14688.058282,14697.157131743,23.21,23.21
-1.0,511,5,14699.218552067,14699.218589686,23.21,23.2
1.0,110,3,14704.785785079,14705.760565447,23.195,23.2
-1.0,46,1,14706.444590793,14706.444590793,23.215,23.21
1.0,626,10,14709.046637445,14722.437003186,23.21,23.215
-1.0,98,1,14723.616815634,14723.616815634,23.215,23.21
1.0,948,16,14726.755901913,14746.759217084,23.21,23.215
-1.0,55,2,14752.007275223,14752.007275223,23.225,23.225
1.0,573,2,14757.665319887,14758.711406671,23.225,23.24
-1.0,4,1,14759.618807777,14759.618807777,23.235,23.235
1.0,1259,9,14760.290248693,14769.174001259,23.235,23.245
-1.0,658,4,14774.228516778,14774.705880387,23.245,23.235
1.0,1072,4,14775.14168167,14781.937058897,23.235,23.255
-1.0,900,1,14782.764926686,14782.764926686,23.255,23.255
1.0,498,4,14783.975074999,14785.793936029,23.255,23.275
-1.0,1445,3,14789.091430194,14789.091430194,23.27,23.265
1.0,2327,8,14789.396538265,14802.452878134,23.24,23.24
-1.0,3985,20,14803.296382271,14805.289411163,23.245,23.17
1.0,1549,8,14805.296200608,14825.296779765,23.14,23.19
-1.0,10,1,14829.573886207,14829.573886207,23.225,23.195
1.0,1402,11,14830.166235492,14841.410533386,23.195,23.215
-1.0,10,1,14842.440204446,14842.440204446,23.215,23.2
1.0,1050,5,14843.764793655,14849.553197762,23.2,23.21
-1.0,809,4,14850.342685278,14850.342706532,23.24,23.21
1.0,565,9,14864.142254816,14880.819354511,23.225,23.24
-1.0,5,1,14886.321340437,14886.321340437,23.245,23.225
1.0,1839,16,14888.240770864,14897.552708348,23.225,23.255
-1.0,88,3,14915.258528165,14930.268007425,23.28,23.27
1.0,144,3,14933.951142271,14935.666153346,23.255,23.265
-1.0,87,4,14944.569120243,14948.962191214,23.275,23.245
1.0,705,3,14952.645709665,14956.444134488,23.255,23.255
-1.0,1000,1,14957.849252465,14957.849252465,23.255,23.25
1.0,1,1,14976.299037976,14976.299037976,23.245,23.245
-1.0,104,2,14980.367382496,14980.367382496,23.245,23.24
1.0,31,2,14982.149852751,14984.009625852,23.235,23.235
