sec,signed_vol,volume,mid
34200,2188.0,3588.0,23.475
34201,25010.0,32058.0,23.495
34202,443.0,603.0,23.505
34203,800.0,800.0,23.525
34204,-902.0,904.0,23.515
34205,7.0,7.0,23.53
34206,-73.0,73.0,23.515
34207,200.0,200.0,23.52
34208,0.0,0.0,23.525
34209,0.0,0.0,23.525
34210,229.0,229.0,23.535
34211,0.0,0.0,23.535
34212,4175.0,4175.0,23.545
34213,511.0,1011.0,23.545
34214,0.0,0.0,23.545
34215,0.0,0.0,23.55
34216,0.0,0.0,23.55
34217,0.0,0.0,23.555
34218,0.0,0.0,23.555
34219,506.0,506.0,23.555
34220,-1415.0,1897.0,23.545
34221,0.0,0.0,23.545
34222,0.0,0.0,23.55
34223,-1463.0,1463.0,23.515
34224,0.0,0.0,23.52
34225,0.0,0.0,23.53
34226,-100.0,100.0,23.525
34227,0.0,0.0,23.535
34228,0.0,0.0,23.535
34229,0.0,0.0,23.535
34230,0.0,0.0,23.535
34231,-5449.0,5449.0,23.51
34232,-900.0,900.0,23.5
34233,0.0,0.0,23.5
34234,200.0,2400.0,23.505
34235,0.0,0.0,23.515
34236,-150.0,150.0,23.505
34237,158.0,158.0,23.505
34238,0.0,0.0,23.51
34239,0.0,0.0,23.505
34240,0.0,0.0,23.505
34241,-92.0,92.0,23.5
34242,150.0,150.0,23.505
34243,1.0,1.0,23.515
34244,16.0,16.0,23.505
34245,-150.0,150.0,23.495
34246,0.0,0.0,23.495
34247,-121.0,121.0,23.485
34248,0.0,0.0,23.485
34249,0.0,0.0,23.485
34250,107.0,107.0,23.5
34251,50.0,550.0,23.49
34252,1373.0,1373.0,23.495
34253,0.0,0.0,23.505
34254,-1253.0,1453.0,23.495
34255,19.0,19.0,23.495
34256,0.0,0.0,23.495
34257,0.0,0.0,23.505
34258,0.0,0.0,23.505
34259,0.0,0.0,23.505
34260,430.0,430.0,23.525
34261,0.0,0.0,23.525
34262,2457.0,2457.0,23.56
34263,-572.0,572.0,23.555
34264,626.0,626.0,23.565
34265,0.0,0.0,23.565
34266,-659.0,659.0,23.545
34267,0.0,0.0,23.55
34268,100.0,100.0,23.555
