sign,shares,n_fills,t_start,t_end,mid_start,mid_end
-1.0,21,2,14400.026983648,14410.670719724,233.34,233.31
1.0,63,10,14413.718762501,14463.000475618,233.3,233.3
-1.0,152,5,14473.837283479,14548.536016228,233.36,233.28
1.0,223,14,14646.752706577,15877.795753941,233.215,233.135
-1.0,250,1,15884.259535204,15884.259535204,233.135,233.135
1.0,5,1,15930.932349307,15930.932349307,233.135,233.155
-1.0,150,1,15942.395957216,15942.395957216,233.155,233.155
1.0,1116,12,15996.985556594,17114.519189251,233.155,233.2
-1.0,761,3,17394.398829754,17557.996653829,233.25,233.125
1.0,31,2,17580.137984703,17580.138044543,233.065,233.065
-1.0,74,4,17713.348814868,18346.48244499,233.155,233.195
1.0,70,3,18941.674217943,19083.171039715,233.235,233.285
-1.0,1,1,19161.243849511,19161.243849511,233.315,233.275
1.0,52,3,19171.067879118,19450.020561609,233.235,233.24
-1.0,45,3,19479.501177703,19525.723062425,233.285,233.24
1.0,234,3,19615.281949376,19780.202234322,233.245,233.305
-1.0,200,2,19935.023036799,19937.225125696,233.36,233.285
1.0,355,3,20034.816655179,20115.137567374,233.28,233.31
-1.0,10,2,20115.971341107,20236.564862504,233.31,233.29
1.0,1,1,20595.011096692,20595.011096692,233.28,233.28
-1.0,4,1,20800.411013203,20800.411013203,233.305,233.28
1.0,700,2,20885.760052186,20885.760121002,233.295,233.3
-1.0,35,2,20891.158293029,20979.861099808,233.3,233.295
1.0,280,7,21011.6886566,21092.37701087,233.295,233.325
-1.0,201,6,21092.377585456,21093.052597511,233.365,233.305
1.0,162,4,21163.371725931,21477.631552719,233.29,233.38
-1.0,140,7,21477.632130731,21810.707927448,233.425,233.385
1.0,1,1,21810.711737007,21810.711737007,233.36,233.36
-1.0,2,1,21887.939723416,21887.939723416,233.415,233.375
1.0,60,3,22001.797503082,22671.287829627,233.36,233.41
-1.0,2,2,22888.857752606,22903.464964904,233.45,233.45
1.0,34,2,23124.172148456,23769.295931794,233.365,233.365
-1.0,101,3,23894.19127334,23894.192626628,233.39,233.345
1.0,20,1,24086.262621887,24086.262621887,233.28,233.32
-1.0,35,3,24730.599655794,24802.439008451,233.41,233.385
1.0,277,6,25032.705828588,25041.551576746,233.42,233.465
-1.0,123,3,25067.914390043,25105.976819294,233.645,233.425
1.0,379,3,25105.977155394,25105.977168408,233.335,233.38
-1.0,82,2,25121.800449641,25121.800449641,233.425,233.395
1.0,24,1,25122.605392252,25122.605392252,233.29,233.37
-1.0,200,1,25130.631016983,25130.631016983,233.375,233.37
1.0,224,3,25130.631108143,25130.631629934,233.255,233.315
-1.0,35,1,25147.977716035,25147.977716035,233.34,233.325
1.0,24,1,25147.987453001,25147.987453001,233.275,233.305
-1.0,57,4,25169.871449425,25188.651253887,233.365,233.265
1.0,700,7,25188.651290653,25192.526309017,233.14,233.195
-1.0,802,15,25192.531265532,25196.589171731,233.215,233.015
1.0,25,2,25198.871157134,25198.871157134,232.99,233.05
-1.0,312,5,25200.089202469,25200.318506656,233.24,232.99
1.0,1141,13,25215.18224807,25224.989721245,232.93,232.985
-1.0,6,1,25227.770210578,25227.770210578,233.045,232.985
1.0,5,1,25243.046763305,25243.046763305,233.015,233.075
-1.0,1444,9,25255.648071537,25292.373982211,233.0,232.54
1.0,47,3,25292.482863122,25292.483309372,232.465,232.505
-1.0,1006,5,25294.125771734,25303.002427442,232.495,232.005
1.0,435,6,25303.002493149,25334.33342107,231.965,231.98
-1.0,60,1,25335.21697807,25335.21697807,231.98,231.96
1.0,3489,47,25335.763943911,25359.750571563,231.96,232.13
-1.0,200,3,25360.511506991,25360.518938202,232.24,232.11
1.0,28,1,25361.144860525,25361.144860525,232.04,232.065
-1.0,349,6,25372.891317721,25372.891334397,232.01,231.9
1.0,125,2,25372.891414998,25372.891521291,231.835,231.785
-1.0,72,3,25372.891936825,25372.891936825,231.795,231.525
1.0,156,7,25372.892048806,25372.894255912,231.485,231.755
-1.0,722,7,25378.40196223,25378.402929746,231.875,231.54
1.0,92,3,25378.402955907,25378.409841654,231.485,231.775
-1.0,1374,16,25382.640856286,25428.891900661,231.955,231.71
1.0,571,5,25428.954485055,25446.031946783,231.62,232.025
-1.0,234,2,25447.091306047,25448.797493144,232.1,232.04
1.0,30,1,25450.143935972,25450.143935972,231.805,231.86
-1.0,650,6,25456.346989118,25458.678956118,231.91,231.805
1.0,39,1,25458.679042084,25458.679042084,231.735,231.775
-1.0,457,6,25458.680887127,25461.641865528,231.82,231.695
1.0,78,1,25461.723253306,25461.723253306,231.685,231.7
-1.0,1020,21,25474.892010834,25575.246290045,231.755,231.46
1.0,114,2,25580.797449437,25580.797498084,231.13,231.18
-1.0,477,10,25580.821674965,25603.743420074,231.155,230.96
1.0,62,2,25604.34743318,25604.347472727,230.96,231.02
-1.0,145,3,25604.347685263,25604.349707976,231.06,230.9
1.0,2,1,25646.203789449,25646.203789449,231.14,231.25
-1.0,350,4,25656.48098728,25660.680667468,231.13,231.035
1.0,100,2,25660.681072124,25660.681134908,230.955,230.995
-1.0,29,2,25660.73429318,25660.73429318,231.0,230.905
1.0,27,3,25661.425931663,25661.426710707,230.86,231.02
-1.0,265,7,25661.427947919,25688.926049773,231.07,230.9
1.0,100,1,25689.393006182,25689.393006182,230.9,230.925
-1.0,600,6,25689.393033795,25692.808612663,230.975,230.87
1.0,536,10,25696.824566635,25699.399362307,230.755,230.765
-1.0,412,6,25699.828572843,25748.881938052,230.765,230.915
1.0,4478,29,25771.684567933,25805.031369968,230.89,230.96
-1.0,39,2,25811.475126182,25811.476057792,230.96,230.93
1.0,10,1,25817.209377061,25817.209377061,231.05,231.09
-1.0,615,3,25817.234283291,25817.234283291,231.15,231.075
1.0,412,12,25817.234339621,25817.234801022,230.95,230.97
-1.0,135,3,25817.257508887,25817.278565566,231.035,230.975
1.0,236,2,25817.278593613,25817.278730103,230.915,230.945
-1.0,86,2,25824.263757405,25824.265319252,230.98,230.95
1.0,95,2,25824.340810546,25824.34085314,230.945,230.97
-1.0,566,10,25832.48199488,25840.598240532,230.935,230.675
1.0,28,1,25840.598950577,25840.598950577,230.625,230.65
-1.0,209,5,25840.599207715,25840.612479701,230.68,230.51
1.0,198,2,25849.599074082,25849.599074082,230.5,230.54
-1.0,570,2,25910.97655492,25922.364255066,230.825,230.77
1.0,830,5,25930.716475228,25955.889379424,230.795,230.89
-1.0,90,3,25956.511271719,26013.179174715,230.89,230.78
1.0,621,8,26023.501472099,26081.599233137,230.7,230.88
-1.0,439,9,26097.575826031,26142.577019759,230.83,230.79
1.0,300,1,26150.625087375,26150.625087375,230.775,230.825
-1.0,97,4,26151.84955278,26153.720608988,230.825,230.78
1.0,25,2,26153.724112479,26153.724152447,230.68,230.73
-1.0,3895,27,26165.096919902,26209.222084111,230.735,230.595
1.0,1002,3,26210.346051337,26226.000638938,230.595,230.595
-1.0,907,8,26237.57161589,26253.837774542,230.675,230.385
1.0,38,1,26253.841616618,26253.841616618,230.305,230.305
-1.0,600,2,26255.296896034,26255.296896034,230.465,230.43
1.0,3,1,26269.551898993,26269.551898993,230.26,230.385
-1.0,1166,6,26272.43890585,26281.781848065,230.335,230.345
1.0,135,1,26281.781878631,26281.781878631,230.175,230.25
-1.0,1123,7,26315.896618589,26320.277705555,230.42,230.35
1.0,125,1,26328.836583434,26328.836583434,230.44,230.485
-1.0,50,1,26332.298933302,26332.298933302,230.535,230.45
1.0,13,1,26343.861045202,26343.861045202,230.485,230.535
-1.0,233,5,26343.975157013,26351.811953674,230.535,230.435
1.0,83,4,26351.8120931,26372.128898477,230.4,230.5
-1.0,3,1,26411.577439154,26411.577439154,230.47,230.43
1.0,250,3,26411.577763187,26412.820909061,230.38,230.455
-1.0,1269,11,26421.406964504,26461.057683724,230.46,230.27
1.0,400,5,26461.059125725,26461.190225298,230.18,230.24
-1.0,10,1,26462.399979723,26462.399979723,230.17,230.15
1.0,100,1,26464.402264789,26464.402264789,230.125,230.15
-1.0,137,3,26464.405791473,26464.407646052,230.16,230.075
1.0,133,2,26466.775376602,26466.775376602,230.05,230.1
-1.0,450,2,26468.192211807,26468.192211807,230.175,230.1
1.0,108,2,26475.903573358,26488.58851912,230.05,230.1
-1.0,449,10,26492.481746062,26492.481755175,230.15,230.09
1.0,150,2,26492.481948114,26492.481948114,230.035,230.035
-1.0,150,2,26492.482707565,26498.990939868,230.09,230.0
1.0,1090,5,26498.991267597,26504.91622367,229.975,230.04
-1.0,109,3,26512.996198146,26524.362893461,229.975,229.845
1.0,450,2,26528.578461318,26530.166323494,229.76,229.815
-1.0,295,1,26530.166352673,26530.166352673,229.895,229.86
1.0,375,5,26530.253037069,26539.323886514,229.85,229.92
-1.0,101,2,26547.301148585,26547.301148585,229.85,229.83
1.0,200,2,26547.674133962,26547.674215596,229.75,229.83
-1.0,70,2,26548.455590249,26549.776683333,229.765,229.7
