sec,signed_vol,mid
34200,0.0,424.015
34201,-1889.0,423.395
34202,1167.0,423.495
34203,-677.0,423.43
34204,1729.0,423.415
34205,-573.0,423.25
34206,420.0,423.625
34207,-321.0,423.3
34208,-225.0,423.325
34209,-259.0,423.31
34210,-327.0,423.28
34211,-506.0,423.165
34212,-44.0,423.095
34213,0.0,423.095
34214,0.0,423.095
34215,0.0,423.095
34216,-1258.0,423.015
34217,0.0,423.02
34218,-569.0,422.94
34219,101.0,422.925
34220,-498.0,422.8
34221,-207.0,422.755
34222,-767.0,422.675
34223,-285.0,422.595
34224,0.0,422.59
34225,-105.0,422.595
34226,358.0,422.82
34227,11.0,422.735
34228,1.0,422.64
34229,199.0,422.67
34230,0.0,422.625
34231,167.0,422.775
34232,-886.0,422.84
34233,-52.0,422.805
34234,8.0,422.735
34235,0.0,422.735
34236,-100.0,422.66
34237,274.0,422.685
34238,634.0,422.79
34239,299.0,422.95
34240,-1172.0,423.01
34241,16.0,423.03
34242,-633.0,422.895
34243,57.0,422.765
34244,-332.0,422.845
34245,-186.0,422.82
34246,-202.0,422.665
34247,232.0,422.82
34248,288.0,422.925
34249,-66.0,422.91
34250,0.0,422.865
34251,0.0,422.925
34252,46.0,423.005
34253,56.0,423.055
34254,-68.0,423.02
34255,184.0,423.085
34256,-52.0,423.085
34257,200.0,423.15
34258,-100.0,423.075
34259,0.0,423.095
34260,53.0,423.01
34261,150.0,423.07
34262,202.0,423.035
34263,0.0,423.015
34264,287.0,423.255
34265,1.0,423.18
34266,175.0,423.295
34267,-849.0,423.365
34268,269.0,423.43
34269,75.0,423.46
34270,21.0,423.455
34271,30.0,423.485
34272,-1396.0,423.255
34273,0.0,423.245
34274,-84.0,423.305
34275,0.0,423.17
34276,296.0,423.245
34277,61.0,423.275
34278,200.0,423.335
34279,156.0,423.36
34280,308.0,423.395
34281,196.0,423.47
34282,9.0,423.48
34283,-110.0,423.435
34284,69.0,423.46
34285,327.0,423.51
34286,100.0,423.5
34287,101.0,423.535
34288,100.0,423.54
34289,0.0,423.555
34290,222.0,423.715
34291,200.0,423.725
34292,136.0,423.79
34293,2.0,423.83
34294,-569.0,423.71
34295,45.0,423.72
34296,-99.0,423.69
34297,-831.0,423.52
34298,-1200.0,423.375
34299,-3.0,423.32
34300,291.0,423.365
34301,0.0,423.365
34302,103.0,423.45
34303,67.0,423.525
34304,-50.0,423.52
34305,0.0,423.52
34306,-520.0,423.47
34307,14.0,423.42
34308,0.0,423.42
34309,69.0,423.46
34310,180.0,423.57
34311,0.0,423.565
34312,-21.0,423.57
34313,-1.0,423.56
34314,-65.0,423.51
34315,-1627.0,423.495
34316,-101.0,423.535
34317,520.0,423.67
34318,76.0,423.66
34319,-27.0,423.605
34320,17.0,423.61
34321,230.0,423.74
34322,0.0,423.715
34323,258.0,423.82
34324,-25.0,423.795
34325,0.0,423.77
34326,99.0,423.76
34327,0.0,423.75
34328,0.0,423.74
34329,390.0,423.81
34330,-1.0,423.825
34331,0.0,423.825
34332,7867.0,423.97
34333,0.0,423.955
34334,-29.0,423.96
34335,0.0,423.96
34336,109.0,424.02
34337,107.0,424.07
34338,87.0,424.125
34339,176.0,424.185
34340,863.0,424.3
34341,0.0,424.29
34342,0.0,424.3
34343,-2.0,424.3
34344,495.0,424.36
34345,-99.0,424.36
34346,0.0,424.355
34347,24.0,424.365
34348,0.0,424.36
34349,537.0,424.45
34350,787.0,424.615
34351,-183.0,424.645
34352,-156.0,424.635
34353,0.0,424.64
34354,-285.0,424.6
34355,0.0,424.6
34356,-168.0,424.57
34357,-94.0,424.535
34358,-26.0,424.475
34359,0.0,424.47
34360,313.0,424.625
34361,38.0,424.62
34362,-475.0,424.61
34363,0.0,424.61
34364,57.0,424.635
34365,0.0,424.63
34366,195.0,424.725
34367,0.0,424.715
34368,-461.0,424.65
34369,-968.0,424.425
34370,0.0,424.425
34371,187.0,424.455
34372,-537.0,424.44
34373,63.0,424.545
34374,0.0,424.535
34375,-200.0,424.545
34376,166.0,424.67
