model,n_sessions,median_r2,mean_r2_band,median_slope,top_decile_ratio,decile_1_to_8_ratio
propagator,15,-2.0350275205864685,"[-14.319, -3.000]",0.3336427461564261,0.289051491830103,0.4773234234844078
propagator_scaled,15,-0.016694979144760147,"[-0.391, 0.088]",0.5242344591089739,0.6144254673343811,0.8666723038298727
sqrt,15,-0.3272449549986931,"[-0.466, -0.081]",0.5194560911294898,0.637526995696847,0.6015698758616451
sqrt_trailing_sigma,15,0.11966747650121978,"[0.069, 0.161]",1.2335464571336385,1.3867401617203827,1.6080460759771584
sqrt_blend,15,0.04444623324942831,"[-0.099, 0.142]",0.6151200706360193,0.7090935938119268,0.7079757267242954
sqrt_tod_loso,15,0.1759091330068916,"[0.160, 0.238]",0.8336951975839335,1.01068187380152,1.2237946305351957
sqrt_tod_prior,12,0.2062813803191284,"[0.160, 0.255]",0.9550079933617542,1.096601099777911,1.338770084015617
sqrt_rate,15,-0.25726039326444217,"[-0.331, -0.008]",0.5694566629477279,0.6690956195693246,0.6192385742443688
