session,symbol,n_bars,selected_delta,selected_lags,explanatory_r2,memoryless_r2,history_gain,predictive_r2,G0,G1_over_G0,half_life_bins
MSFT_2024-06-03,MSFT,179285,0.25,60,0.239933730409306,0.2376344480684659,0.002299282340840092,0.0023774296906646786,2.0222866790859307e-05,-0.01045613778759411,1.0
MSFT_2024-02-01,MSFT,193864,0.25,10,0.18034282216405695,0.17760872561475893,0.002734096549298015,0.00010713912202442444,1.780061735678486e-05,-0.01629086321182014,1.0
MSFT_2024-04-01,MSFT,176946,0.25,60,0.20601320947568402,0.20178295994251538,0.00423024953316864,-0.0023864787434839663,1.8063443164086055e-05,-0.00366868783235105,1.0
MSFT_2024-10-01,MSFT,176557,0.25,20,0.2844188647646896,0.2823332711957399,0.002085593568949662,-0.0002079868570838972,2.054602522340044e-05,-0.04461137139329285,1.0
MSFT_2024-12-02,MSFT,117367,0.75,0,0.35178082742528716,0.35178082742528716,0.0,-0.001069073494723627,5.172286270531588e-07,0.1806672859722823,
INTC_2024-08-02,INTC,172236,0.25,0,0.43291049751794863,0.43291049751794863,0.0,0.0019066313509795707,4.8565926016268365e-05,-0.029914874275470328,
INTC_2024-02-01,INTC,129237,0.25,60,0.5014018386817438,0.49645032093512975,0.004951517746614065,0.00010261609560768825,4.1765629601189845e-05,0.00044372385528203376,1.0
INTC_2024-04-01,INTC,100541,0.25,60,0.3123914379921088,0.3066771467894531,0.0057142912026556525,0.00186366554778028,3.615178453433083e-05,0.005425488258003514,1.0
INTC_2024-10-01,INTC,123822,0.25,1,0.4212518624327535,0.4212195200439195,3.234238883398355e-05,0.002899423631895437,5.158013917151533e-05,-0.009387159789790213,1.0
INTC_2024-12-02,INTC,117730,0.25,60,0.3419570878657606,0.3383260752166162,0.0036310126491444494,0.0028108594192876035,4.645115891585261e-05,0.004996668196726295,1.0
AAPL_2024-02-01,AAPL,185490,0.25,5,0.24981355669748795,0.2483695541913492,0.0014440025061387418,-6.079681621140587e-05,1.630415039823371e-05,-0.033763738096112765,1.0
AAPL_2024-04-01,AAPL,155002,0.25,60,0.3425066817728937,0.34080428712437605,0.0017023946485176245,0.0004884992444713632,1.1985457581354822e-05,-0.003127670855709846,1.0
AAPL_2024-06-03,AAPL,167198,0.25,2,0.3828559442382108,0.3825353691487686,0.0003205750894421655,-8.35910450298627e-05,1.1870826303192558e-05,-0.0006583651005193762,1.0
AAPL_2024-08-01,AAPL,201689,0.5,20,0.40775669662654024,0.40744291678827727,0.00031377983826297307,0.006607369827739018,3.747958921031706e-06,0.012800262565370805,1.0
AAPL_2024-10-01,AAPL,210082,0.25,60,0.2991394037072258,0.29808863679488407,0.0010507669123417385,0.0005304747550211042,1.4370997267036974e-05,-0.02172961217046974,1.0
