exponent,wsse,delta_wsse,deviance
0.15,29303500.24915379,5059651.834803309,113.72643584912969
0.16,28172808.526134435,3928960.1117839552,90.11661872345212
0.16999999999999998,27181714.46896747,2937866.0546169914,68.62894409654363
0.18,26332339.201286346,2088490.7869358659,49.58093980112745
0.19,25626211.42850413,1382363.014153652,33.27168001918128
0.19999999999999998,25064263.496694356,820415.0823438764,19.968092988827337
0.21,24646829.293332107,402980.8789816275,9.891210944196375
0.21999999999999997,24373644.331350528,129795.91700004786,3.2036919563964124
0.22999999999999998,24243848.41435048,0.0,0.0
0.24,24255991.291161682,12142.876811202615,0.3004433121096228
0.24999999999999997,24408041.79200142,164193.37765093893,4.049848842359398
0.26,24697400.725346472,453552.3109959923,11.121055642179126
0.26999999999999996,25120917.91137365,877069.497023169,21.322782253437783
0.27999999999999997,25674913.62407444,1431065.2097239606,34.41088802254465
0.29,26355204.53265076,2111356.1183002815,50.10171563190874
0.29999999999999993,27157134.16464482,2913285.750294339,68.08612127381616
0.30999999999999994,28075607.77123502,3831759.356884539,88.04294217108195
0.31999999999999995,29105131.34244339,4861282.928092912,109.65094911378145
0.32999999999999996,30239854.39132431,5996005.976973832,132.59869477810128
0.33999999999999997,31473616.00757782,7229767.593227342,156.59201773840113
0.35,32799993.577840798,8556145.163490318,181.3592448148084
0.36,34212353.486613825,9968505.072263345,206.65432820271016
0.37,35703903.05170886,11460054.637358382,232.25826025275157
0.37999999999999995,37267742.91330986,13023894.498959377,257.97914380429796
0.38999999999999996,38896919.086962596,14653070.672612116,283.6512810424174
0.39999999999999997,40584473.907500565,16340625.493150085,309.13359949724276
0.4099999999999999,42323495.13133383,18079646.716983348,334.3076764448887
0.41999999999999993,44107162.52593657,19863314.111586086,359.07556395064665
0.42999999999999994,45928791.35423286,21684942.939882383,383.3575628826732
0.43999999999999995,47781872.253834635,23538023.839484155,407.090048668625
0.44999999999999996,49660107.11238588,25416258.698035397,430.2234152547424
0.45999999999999996,51557440.646250844,27313592.231900364,452.7201761477364
0.47,53468087.49628773,29224239.081937253,474.5532413780712
0.48,55386554.75770557,31142706.34335509,495.7043752957282
0.49,57307659.9577787,33063811.54342822,516.162830912919
0.4999999999999999,59226544.582887165,34982696.168536685,535.9241508303502
0.5099999999999999,61138683.333036706,36894834.918686226,554.9891216303123
0.5199999999999999,63039889.34644014,38796040.93208966,573.3628672133881
0.5299999999999999,64926315.688306674,40682467.273956195,591.0540663099487
0.5399999999999999,66794453.43665433,42550605.02230385,608.0742798851669
0.5499999999999999,68641126.72419584,44397278.30984536,624.4373750739985
0.5599999999999999,70463485.11000471,46219636.69565423,640.1590334220986
0.57,72258993.65889189,48015145.24454141,655.2563324313422
0.58,74025421.1015604,49781572.68720992,669.7473906260415
0.59,75760826.43610482,51516978.02175434,683.6510675147827
0.6,77463544.31276128,53219695.8984108,696.986710893708
0.6099999999999999,79132169.52043295,54888321.10608247,709.7739449067006
0.6199999999999999,80765540.86676945,56521692.45241897,722.0324931431628
0.6299999999999999,82362724.7146934,58118876.30034292,733.7820318180538
0.6399999999999999,83922998.40832886,59679149.99397838,745.04206874827
0.6499999999999999,85445833.79121318,61201985.376862705,755.831844422779
0.6599999999999999,86930880.99022956,62687032.57587908,766.1702519702483
0.6699999999999999,88377952.61048257,64134104.19613209,776.0757732662266
0.6799999999999999,89787008.45981082,65543160.04546034,785.5664288007312
0.69,91158140.89710961,66914292.48275913,794.6597392541292
0.7,92491560.87632973,68247712.46197926,803.3726970114337
0.71,93787584.7380311,69543736.32368062,811.7217460887028
0.72,95046621.7827247,70802773.36837421,819.7227691554948
0.73,96269162.64489272,72025314.23054224,827.3910805189424
0.7399999999999999,97455768.47343887,73211920.0590884,834.7414240919621
0.7499999999999999,98607060.91326189,74363212.49891141,841.7879755038607
0.7599999999999999,99723712.87350494,75479864.45915446,848.5443476290676
0.7699999999999999,100806440.0606462,76562591.64629573,855.0235989114587
0.7799999999999999,101855993.24877809,77612144.83442761,861.2382439498764
0.7899999999999999,102873151.25499713,78629302.84064665,867.2002658868447
0.7999999999999999,103858714.58462086,79614866.17027038,872.9211302087348
0.8099999999999999,104813499.70879012,80569651.29443964,878.4117996230642
0.82,105738333.93575527,81494485.52140479,883.6827497284377
0.83,106634050.83663243,82390202.42228195,888.7439852358061
0.84,107501486.1865274,83257637.77217692,893.6050565371465
0.8499999999999999,108341474.38253783,84097625.96818735,898.2750764500732
0.8599999999999999,109154845.30115736,84910996.88680688,902.7627369949187
0.8699999999999999,109942421.5589307,85698573.14458022,907.0763260850764
0.8799999999999999,110705016.14176227,86461167.72741179,911.223744032307
0.8899999999999999,111443430.3700021,87199581.95565163,915.2125197867538
0.8999999999999999,112158452.16826065,87914603.75391017,919.049826846923
0.9099999999999999,112850854.610794,88607006.19644351,922.7424987882102
0.9199999999999999,113521394.7152128,89277546.30086233,926.2970443699596
0.9299999999999999,114170812.45917225,89926964.04482177,929.7196621907921
0.94,114799829.99656853,90555981.58221805,933.0162548702281
0.95,115409151.05158457,91165302.63723409,936.1924427416612
