symbol,form,params,exponent,se_robust,boot_lo,boot_hi,wsse,r2_weighted,aic,n_params,loso_rmse,delta_aic
AAPL,logarithmic,"k=1.305, u0=0.3502",,,,,4845613.865087713,0.8016639386776533,2023.053425894721,2,0.87567269212901,0.0
AAPL,piecewise_flat_power,"c=1, u0=0.08264, p=0.2796",0.27957642864673726,0.02371692805313709,0.26486057282248693,0.31370771866773267,5569353.514686519,0.7720405152021543,2052.894434606679,3,0.9263525330554421,29.84100871195824
AAPL,power,"a=2.053, p=0.273",0.2729584455265181,0.020050341886331688,0.25945693532002334,0.3039966261872222,5733929.302546818,0.7653042554707689,2056.718845856787,2,0.9374995833312588,33.66541996206615
AAPL,athl_beta_free,"eta=2.053, beta=0.273",0.2729584455265181,0.020050341886331688,0.25945693532002334,0.3039966261872222,5733929.302546818,0.7653042554707689,2056.718845856787,2,0.9374995833312588,33.66541996206615
AAPL,athl_beta_0.6,eta=0.4761,,,,,25030883.225008786,-0.024540322132741155,2349.460716578745,1,1.9037946612091279,326.40729068402425
AAPL,linear,b=0.03869,,,,,43431399.060080394,-0.7776927479423683,2459.6751703167297,1,2.4745085243902323,436.62174442200876
INTC,piecewise_flat_power,"c=1, u0=0.07725, p=0.3013",0.30132655964871824,0.02614502901209203,0.2828600076200721,0.33611647547459894,5236998.609294213,0.8330639308116471,2040.5883482319302,3,0.76648993162384,0.0
INTC,logarithmic,"k=1.574, u0=0.4232",,,,,5924143.1019089725,0.8111603159514186,2063.2458487655936,2,0.8031083231040368,22.657500533663324
INTC,power,"a=2.281, p=0.2841",0.2840622876204538,0.018443142067757788,0.27155158418424163,0.3084456726054993,6019720.263794523,0.8081136709358869,2066.446796369817,2,0.8142247657746571,25.858448137886853
INTC,athl_beta_free,"eta=2.281, beta=0.2841",0.2840622876204538,0.018443142067757788,0.27155158418424163,0.3084456726054993,6019720.263794523,0.8081136709358869,2066.446796369817,2,0.8142247657746571,25.858448137886853
INTC,athl_beta_0.6,eta=0.6251,,,,,25926643.81322845,0.17355486828930444,2356.492870002153,1,1.725048362468369,315.9045217702226
INTC,linear,b=0.0607,,,,,47989012.29888687,-0.529711515139651,2479.633053136056,1,2.3265476624042507,439.04470490412564
MSFT,piecewise_flat_power,"c=1, u0=0.1763, p=0.179",0.17899208117633936,0.009931646540349994,0.16774140988073463,0.19592909047915333,462826.3697346388,0.8443947405933451,1555.357976962743,3,0.2925037901688866,0.0
MSFT,power,"a=1.407, p=0.169",0.16902693906190527,0.006857797432494208,0.15979673461066177,0.18125033699002996,510724.08328906464,0.8282912153190715,1573.0534804770775,2,0.3034101112953589,17.695503514334632
MSFT,athl_beta_free,"eta=1.407, beta=0.169",0.16902693906190527,0.006857797432494208,0.15979673461066177,0.18125033699002996,510724.08328906464,0.8282912153190715,1573.0534804770775,2,0.3034101112953589,17.695503514334632
MSFT,logarithmic,"k=0.2939, u0=0.006397",,,,,644718.5454612985,0.7832413987813488,1619.6503540739334,2,0.33463248995289313,64.29237711119049
MSFT,athl_beta_0.6,eta=0.182,,,,,9674044.26898721,-2.2524770981616697,2159.3279283770903,1,1.3128158946547177,603.9699514143474
MSFT,linear,b=0.01164,,,,,14557022.290602388,-3.8941663177410657,2241.053340052212,1,1.6198425018433815,685.6953630894693
