form,params,exponent,se_robust,boot_lo,boot_hi,wsse,r2_weighted,aic,n_params,loso_rmse,delta_aic
piecewise_flat_power,"c=1, u0=0.07951, p=0.2454",0.24543904950862586,0.01885154608967538,0.21435454710861226,0.2803410410131495,23452345.454796206,0.6082898506331029,6350.1308472198625,3,1.0738143214973064,0.0
power,"a=1.928, p=0.2341",0.23413359806836476,0.014971483167250114,0.20336043759115516,0.2682445936395349,24231761.164358567,0.5952717478339586,6367.747072129668,2,1.0881799563654808,17.61622490980517
athl_beta_free,"eta=1.928, beta=0.2341",0.23413359806836476,0.014971483167250114,0.20336043759115516,0.2682445936395349,24231761.164358567,0.5952717478339586,6367.747072129668,2,1.0881799563654808,17.61622490980517
logarithmic,"k=0.864, u0=0.1392",,,,,24580849.849024057,0.5894411335324519,6376.3291486637345,2,1.098411790236683,26.19830144387197
athl_beta_0.6,eta=0.363,,,,,77463544.48134974,-0.2938260967443378,7063.033000789116,1,1.9150885788774845,712.9021535692536
linear,b=0.02515,,,,,118183604.10716638,-0.9739482904499395,7316.492170976737,1,2.3595944027155547,966.3613237568743
