size,cost,poolable,exponent,se_robust,boot_lo,boot_hi,r2_weighted,n_bins
shares,cost_bp,False,0.5327691595509434,0.011621772303235712,0.4731560187814864,0.5839075614230497,0.851396218646426,600
shares,cost_sigma,False,0.3120994679668753,0.01701591142715964,0.2302258992035284,0.37847017769622454,0.7142789058404051,600
shares,cost_half_spreads,False,0.2730000434743743,0.008074540799173701,0.24199554229268463,0.3313654738334484,0.6678512882141716,600
x_over_adv,cost_bp,False,0.5640687369542781,0.018444411961455506,0.5017582193112902,0.6393418829694335,0.8244117344066674,600
x_over_adv,cost_sigma,True,0.3362533754144323,0.019572256585841455,0.2550399098430323,0.4035635277188515,0.7491388726932854,600
x_over_adv,cost_half_spreads,True,0.2945438733988701,0.008852726814416702,0.2598651558265294,0.34494940735091956,0.6788096100954897,600
x_over_depth,cost_bp,False,0.19992203303992062,0.028695952618783334,0.1602457403904456,0.24321038511114884,0.1486410461132619,600
x_over_depth,cost_sigma,True,0.220143585976068,0.0166662685280585,0.19186361653979175,0.25353245767880195,0.4789274444711723,600
x_over_depth,cost_half_spreads,True,0.23413359806836476,0.014971483167250114,0.20336043759115516,0.2682445936395349,0.5952717478339586,600
