order_fraction,component,median_shares,twap_cost,propagator_optimal_cost,propagator_optimal_saving,propagator_optimal_lo,propagator_optimal_hi,almgren_chriss_cost,almgren_chriss_saving,almgren_chriss_lo,almgren_chriss_hi
0.005,total,75494.78,-0.006422075517797285,-0.006423277316895721,1.2017990984357398e-06,-1.3960224474947685e-06,4.3108742046175545e-06,-0.003735765086982894,-0.00268631043081439,-0.010486798771362603,0.005456661318443506
0.005,impact,75494.78,0.0012315911488786698,0.0012315932386465784,-2.0897679087612506e-09,-5.0432395660505286e-09,-5.880240497960605e-11,0.0019119664880286645,-0.0006803753391499948,-0.0009626701235973307,-0.00039745966495544874
0.005,drift,75494.78,-0.007653666666675954,-0.007654870555542299,1.2038888663449636e-06,-1.3928236482989576e-06,4.313236275538773e-06,-0.005647731575011559,-0.0020059350916643956,-0.009660135878294855,0.006089174053057728
0.01,total,150989.56,-0.005190474807003541,-0.005191674516326546,1.1997093230055074e-06,-1.399221252796182e-06,4.308512130149472e-06,-0.001823769053827196,-0.0033667057531763444,-0.01128353061345506,0.00482571876625092
0.01,impact,150989.56,0.0024631918596724127,0.002463196039215752,-4.179543339528432e-09,-1.008648765080044e-08,-1.1760716174490941e-10,0.0038239625211843624,-0.0013607706615119501,-0.0019253659028187146,-0.0007949284195963409
0.01,drift,150989.56,-0.007653666666675954,-0.007654870555542299,1.2038888663449636e-06,-1.3928236482989576e-06,4.313236275538773e-06,-0.005647731575011559,-0.0020059350916643956,-0.009660135878294855,0.006089174053057728
0.02,total,301979.12,-0.0027272446992772383,-0.002728440229026816,1.1955297495765332e-06,-1.4055527994495394e-06,4.304016309731439e-06,0.0020003116506008235,-0.00472755634987806,-0.013040836236201217,0.0035286932950829505
0.02,impact,301979.12,0.004926421967398714,0.004926430326515482,-8.359116767858504e-09,-2.0173009377079756e-08,-2.352237321518555e-10,0.00764804322561238,-0.0027216212582136657,-0.0038508344306157623,-0.001589893198835996
0.02,drift,301979.12,-0.007653666666675954,-0.007654870555542299,1.2038888663449636e-06,-1.3928236482989576e-06,4.313236275538773e-06,-0.005647731575011559,-0.0020059350916643956,-0.009660135878294855,0.006089174053057728
