session,start_second,order_fraction,TWAP_total,TWAP_drift,TWAP_impact,propagator_optimal_total,propagator_optimal_drift,propagator_optimal_impact,almgren_chriss_total,almgren_chriss_drift,almgren_chriss_impact,TWAP_inventory_var,propagator_optimal_inventory_var,almgren_chriss_inventory_var
MSFT_2024-06-03,50594,0.005,0.010976304362772363,0.00925000000000864,0.0017263043627637226,0.010994762284348423,0.009268457765870153,0.0017263045184782704,0.028269559524430398,0.02558945382293132,0.0026801057014990788,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,50594,0.01,0.012702615960276602,0.00925000000000864,0.0034526159602679615,0.012721074037568083,0.009268457765870153,0.0034526162716979293,0.030949687588737954,0.02558945382293132,0.005360233765806636,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,50594,0.02,0.016155260859627908,0.00925000000000864,0.006905260859619269,0.016173719248352845,0.009268457765870153,0.006905261482482692,0.03631001080662286,0.02558945382293132,0.010720556983691544,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,50682,0.005,-0.17723241956824878,-0.17895833333329847,0.0017259137650496807,-0.17721090614514934,-0.1789368200915078,0.0017259139463584492,-0.12226438535699594,-0.12494411199128308,0.002679726634287142,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,50682,0.01,-0.17550649857009543,-0.17895833333329847,0.003451834763203045,-0.17548498496568618,-0.1789368200915078,0.003451835125821609,-0.11958463636363202,-0.12494411199128308,0.005359475627651057,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,50682,0.02,-0.1720546348743564,-0.17895833333329847,0.006903698458942077,-0.17203312090732448,-0.1789368200915078,0.006903699184183313,-0.11422507129882965,-0.12494411199128308,0.010719040692453422,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,50718,0.005,-0.07384932352363341,-0.07557500000001482,0.0017256764763814185,-0.0738261723150561,-0.07555184898649259,0.0017256766714364915,0.01913393932971251,0.016454276875322194,0.002679662454390316,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,50718,0.01,-0.07212363981514282,-0.07557500000001482,0.003451360184872007,-0.07210048841150932,-0.07555184898649259,0.003451360574983269,0.02181362414232872,0.016454276875322194,0.005359347267006525,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,50718,0.02,-0.0686722507017129,-0.07557500000001482,0.0069027492983019315,-0.06864909890796367,-0.07555184898649259,0.006902750078528917,0.027173060843082977,0.016454276875322194,0.010718783967760782,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,50792,0.005,-0.18260809168000644,-0.18433333333337032,0.0017252416533638827,-0.1825853847182368,-0.18431062656293307,0.0017252418446962764,-0.004833988448194361,-0.007513812987838264,0.0026798245396439037,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,50792,0.01,-0.1808828427963556,-0.18433333333337032,0.003450490537014711,-0.18086013564325248,-0.18431062656293307,0.003450490919680588,-0.002154141548371476,-0.007513812987838264,0.005359671439466788,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,50792,0.02,-0.1774323233380719,-0.18433333333337032,0.006901009995298407,-0.17740961580229855,-0.18431062656293307,0.00690101076063452,0.003205619332655476,-0.007513812987838264,0.01071943232049374,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,50838,0.005,-0.336266733684296,-0.33799166666665315,0.0017249329823571745,-0.33625742614623577,-0.337982359207615,0.0017249330613792054,-0.10445797458270399,-0.10713792828966007,0.002679953706956077,155080905578.74963,155086256720.44418,75409261025.10886
MSFT_2024-06-03,50838,0.01,-0.3345417934729454,-0.33799166666665315,0.003449873193707785,-0.33453248585586276,-0.337982359207615,0.0034498733517522315,-0.10177799851343716,-0.10713792828966007,0.005359929776222909,620323622314.9985,620345026881.7767,301637044100.4354
MSFT_2024-06-03,50838,0.02,-0.33109189136314265,-0.33799166666665315,0.006899775303510498,-0.33108258358801407,-0.337982359207615,0.00689977561960093,-0.09641797928712689,-0.10713792828966007,0.01071994900253317,2481294489259.994,2481380107527.107,1206548176401.7417
MSFT_2024-06-03,51057,0.005,-0.8806351158788884,-0.8823583333333431,0.001723217454454647,-0.8806605321696093,-0.8823837494120426,0.0017232172424333362,-0.5859856413916242,-0.5886641343346355,0.002678492943011265,155080905578.74963,155086256720.44418,75409261025.10886
