session,n_lags,G0,G1_over_G0,min_eigenvalue,psd_projected,first_second_share,last_second_share,middle_rate_share,min_share,any_negative
MSFT_2024-06-03,1,9.205597760653488e-08,-0.020326870559463403,8.83136088540612e-08,False,0.0016328875212452095,0.0016328875212452095,0.0016667819934424954,0.0016328875212452095,False
MSFT_2024-02-01,1,1.0563941022437873e-07,-0.01642366926886075,1.0216948416119511e-07,False,0.0016393777694297222,0.0016393777694297222,0.001666759463455165,0.0016393777694297222,False
MSFT_2024-04-01,1,9.446899634699525e-08,0.060117479096403796,8.311067570217255e-08,False,0.0017668920869999664,0.0017668920869999664,0.001666350598752139,0.0016602842938180764,False
MSFT_2024-10-01,1,1.0282631190158334e-07,0.004812801985325446,1.0183656006780277e-07,False,0.0016746614511349495,0.0016746614511349495,0.0016666400567566016,0.001666601450479552,False
MSFT_2024-12-02,1,3.240160460488413e-08,-0.02982779374241132,3.046869425484742e-08,False,0.0016170752433819484,0.0016170752433819482,0.0016668376458177944,0.0016170752433819482,False
INTC_2024-08-02,1,3.835002269473594e-08,0.11208992036721635,2.9752838172705002e-08,False,0.001855260758420206,0.001855260758420206,0.0016661004208048732,0.0016446241442972056,False
INTC_2024-02-01,1,1.2687524207865678e-07,-0.04352245153524068,1.1583154981278458e-07,False,0.0015942336117445509,0.001594233611744551,0.0016669200013426613,0.0015942336117445509,False
INTC_2024-04-01,1,3.109076661633467e-08,0.06076515603728826,2.731234766893662e-08,False,0.0017679798881512668,0.0017679798881512668,0.0016663473661162865,0.0016601486768482352,False
INTC_2024-10-01,5,5.0719945029856435e-08,0.0028488123462407657,3.108585771585735e-08,False,0.0013164042237748085,0.0013164042237748085,0.0016715560469211304,0.0013164042237748085,False
INTC_2024-12-02,2,2.711662954382453e-08,-0.06269071644334102,2.1928174900173116e-08,False,0.0015034891125838123,0.0015034891125838125,0.0016674773157945202,0.0015034891125838123,False
AAPL_2024-02-01,1,4.010423602456422e-08,-0.07893238287071197,3.377327669515821e-08,False,0.0015347241036508153,0.0015347241036508148,0.001667146159847106,0.0015347241036508148,False
AAPL_2024-04-01,5,1.2740270128393728e-08,-0.06649613868441503,3.932057211287491e-09,False,0.0010359502381971702,0.0010359502381971702,0.0016718915896445673,0.0010359502381971702,False
AAPL_2024-06-03,5,3.7937989343804226e-08,0.04836074719600684,3.190375904077295e-08,False,0.0017613246835280155,0.0017613246835280153,0.0016662234062034737,0.0016623213339336225,False
AAPL_2024-08-01,2,7.852434407790363e-08,0.01913489754291673,7.416308384529287e-08,False,0.0017407855930875742,0.0017407855930875742,0.0016662905387102164,0.0016635667614454078,False
AAPL_2024-10-01,2,4.773505119840246e-08,-0.11010612589393755,3.513053132603694e-08,False,0.0014402992569177687,0.0014402992569177689,0.0016676873032286936,0.0014402992569177687,False
