symbol,june_days,mean_close,mean_volume,mean_high_low_bp,relative_tick,dollar_volume,tick_tercile,volume_tercile,cell,role
FDX,20.0,261.62600000000003,327574.45,294.09424180267445,3.822250082178377e-05,85701993.05570002,low,high,low_tick__high_volume,stratified
FE,20.0,38.75425,310282.05,146.8292910197018,0.0002580362153828,12024748.1362125,high,low,high_tick__low_volume,stratified
FITB,20.0,36.019,1812374.95,214.01048838073385,0.0002776312501735,65279933.324049994,high,high,high_tick__high_volume,stratified
FSLR,20.0,265.0025,989367.6,553.1527490328922,3.773549306138621e-05,262184887.419,low,high,low_tick__high_volume,stratified
GOOGL,20.0,178.1105,8731332.25,191.25043438247872,5.614492127078415e-05,1555141952.713625,mid,high,mid_tick__high_volume,stratified
GPC,20.0,140.93075000000002,98535.8,180.75172674108492,7.095683518323715e-05,13886724.195850002,mid,low,mid_tick__low_volume,stratified
GS,20.0,453.5665,222644.7,193.22745863624183,2.204748366557054e-05,100984177.32255,low,high,low_tick__high_volume,stratified
HAL,20.0,33.88725,994595.7,268.10669614266726,0.0002950962382607,33704113.134825,high,mid,high_tick__mid_volume,stratified
HAS,20.0,59.2675,802980.75,250.90705553875333,0.000168726536466,47590661.600625,high,mid,high_tick__mid_volume,stratified
HBAN,20.0,12.8645,5785936.9,255.94755524300885,0.0007773329705779,74433185.25005001,high,high,high_tick__high_volume,stratified
HOLX,20.0,73.1175,610648.8,180.89940524360213,0.000136766164051,44649113.63400001,high,mid,high_tick__mid_volume,stratified
HSIC,20.0,66.874,448704.4,205.21806157183565,0.0001495349463169,30006658.0456,high,mid,high_tick__mid_volume,stratified
HUBB,20.0,375.14875,99701.25,308.10316400486977,2.6656093083077047e-05,37402799.3109375,low,mid,low_tick__mid_volume,stratified
HWM,20.0,81.11274999999999,309124.55,240.6647737333066,0.0001232851801967,25073942.343012497,mid,mid,mid_tick__mid_volume,stratified
INTC,,,,,,,,,,comparison
IT,20.0,440.238,51550.85,172.22768766713514,2.271498598485365e-05,22694643.1023,low,low,low_tick__low_volume,stratified
ITW,20.0,239.3195,113606.75,160.68102726952313,4.1785144963114165e-05,27188310.606625,low,mid,low_tick__mid_volume,stratified
JBHT,20.0,158.47899999999998,370766.9,211.4769479174644,6.309984288139123e-05,58758767.5451,mid,mid,mid_tick__mid_volume,stratified
