panel,n,delta_free,delta_ci_low,delta_ci_high,c_free,c_delta_half,c_ci_low,c_ci_high
pooled,1176,0.39035696981948675,0.3318186117445104,0.4822859537304633,0.8881468978282034,1.8562929741373668,1.5481974051753,2.225773971429204
AAPL,250,0.3374623324885269,0.27617081371387775,0.4446114988544965,0.5639785444446418,1.6782811747286566,1.0767527081361807,2.4423365182978625
INTC,493,0.36284013306657315,0.24844563571881245,0.5024460665870213,0.6227833338068417,1.5211813632787425,1.3186591628830178,1.8485476071038562
MSFT,433,0.6196218580051968,0.5610986133321233,0.7333038639806908,6.012958842471143,2.5762494662125595,2.267012963020307,2.8863206094511096
