q_star,a,wsse,deviance
8.738431283684778e-08,5064.383532933176,0.5722192524726724,0.0
9.120290752095084e-08,4957.192279836643,0.5724859901382913,0.018641492011570063
9.518837043217707e-08,4852.2703044949685,0.5727479069135892,0.03693761688448341
9.934799352149935e-08,4749.569555299413,0.573005070313743,0.054893557446440394
1.0368938738982227e-07,4649.042997886232,0.5732575478712918,0.0725144800954865
1.082204952126181e-07,4550.644593653268,0.5735054070751341,0.08980553098846586
1.1294960727305683e-07,4454.329278725471,0.5737487153133545,0.10677183249882874
1.1788537613021663e-07,4360.0529433603715,0.5739875398197,0.12341847993019421
1.2303683245012622e-07,4267.772411784698,0.5742219476235232,0.13975053847130506
1.2841340152860727e-07,4177.4454224533365,0.57445200550302,0.15577304037947215
1.3402492053614656e-07,4089.030608722104,0.5746777799416007,0.17149098238014418
1.3988165651634684e-07,4002.487479925961,0.5748993370872382,0.18690932327080442
1.45994325170893e-07,3917.776402854366,0.5751167427146385,0.20203298171757395
1.523741104653959e-07,3834.858583615697,0.5753300621901054,0.21686683423485792
1.590326850919934e-07,3753.6960498827516,0.5755393604389434,0.2314157133365197
1.6598223182613956e-07,3674.2516335115647,0.5757447019152857,0.24568440585015028
1.7323546581666385e-07,3596.4889535258358,0.5759461505742192,0.2596776513849248
1.8080565784988066e-07,3520.3723994594557,0.576143769846083,0.2734001409440633
1.8870665863031075e-07,3445.8671150498058,0.5763376226128323,0.2868565156739978
1.9695292412244723e-07,3372.9389822744915,0.5765277711863618,0.3000513657424607
2.055595419999228e-07,3301.554605724532,0.5767142772886814,0.3129892293378549
2.1454225925047876e-07,3231.6812973069427,0.5768972020338502,0.3256745917830649
2.2391751098723996e-07,3163.2870612699344,0.5770766059115757,0.3381118847570033
2.3370245051900536e-07,3096.3405795440453,0.5772525487723805,0.3503054856170917
2.4391498073458226e-07,3030.8111973925847,0.5774250898142693,0.3622597168177103
2.5457378685857325e-07,2966.668909365036,0.5775942875707964,0.3739788454176443
2.656983706385606e-07,2903.867123739428,0.5780414949630948,0.4049372093853185
2.773090860262243e-07,2842.3935446025234,0.5785059380719645,0.43706338912128206
