symbol,n_metaorders,n_sessions,delta,delta_lo,delta_hi,c_free,c_half,c_lo,c_hi,delta_tod,delta_tod_lo,delta_tod_hi,c_half_tod,brackets_half,brackets_half_tod,q_star,q_star_interior,impact_at_crossover_ticks,median_participation,mean_sigma,median_close,mean_volume,unsided_share,role,relative_tick,dollar_volume,mean_high_low_bp,daily_range_ticks
AAPL,4235,127,0.40785735430697767,0.3487331614245347,0.465179363914724,0.8521266261298037,1.5140726329280518,1.4364772778332648,1.5965858062796732,0.27849830955516053,0.2323385133888911,0.325644497638163,1.7387580782534315,False,False,0.00029545683649537794,True,6.139935607369877,0.0007379875507067,0.012036135724903328,214.11,12313672.362204725,0.2720896316740596,stratified,4.833790126500288e-05,6559401736.573951,271.01685557651683,580.2741894748802
ABBV,12319,127,0.4209922760513269,0.3872106002169026,0.4538601157455057,0.791148886753995,1.2709318942921908,1.2328143018612814,1.3214498685503049,0.34991481130817254,0.3255784189128773,0.37516395436012123,1.4940655086843964,False,False,0.0003029311542342845,False,4.031321189562768,0.0013339740945349,0.011424225824415882,170.43,509230.0472440945,0.34536355418339687,stratified,5.924205712119148e-05,86969414.13530001,201.26714657813503,343.0195979131155
AEP,14904,127,0.3809778484500122,0.35458145871519176,0.4071697640133116,0.6508495957265689,1.3381781871886549,1.3013721747411922,1.3733602534054568,0.3394602400197463,0.31725689699002774,0.3626698110177339,1.5365767233747984,False,False,0.00025343038750707446,False,1.7926145805301046,0.0011429555248217002,0.009625464336118515,90.97,648434.2834645669,0.2380330726788098,stratified,0.000113453934866,104725926.994275,169.07370627722068,153.80635060038762
AJG,6759,127,0.3074555730392127,0.27818614430764543,0.33830494991840326,0.3098908919806733,0.839046938779989,0.8050138588579279,0.8781558878049796,0.28430839066364766,0.25744113522537254,0.31411099033586304,0.9915994767014449,False,False,0.0002558518353263193,False,3.3200974755590495,0.0025689021859164,0.009703715449095136,263.96000000000004,91072.89763779528,0.38455783435387003,stratified,3.8727942016525214e-05,29510630.8389,165.84912047308174,437.7753384007466
ALLE,6767,127,0.30613041480458997,0.2737823965689864,0.34266144567322193,0.2796114489390957,0.7480820113033799,0.716856154737388,0.7836162162785149,0.30580160986575183,0.27461745033809404,0.3413493585133831,0.9021690270793548,False,False,0.00027227109163264454,False,2.064521476546273,0.0028460155781905,0.013741687349781038,126.96,87534.77952755906,0.3479925438986716,stratified,8.529330234343349e-05,10501146.929374998,189.58584057823893,240.6981831981321
AMCR,2448,127,0.31882328586479153,0.28277909404560764,0.3584821456376249,0.4420759499341478,1.0285719312910917,0.9647945764064668,1.104997615971254,0.39700461266538384,0.3593958081724823,0.44050702292877214,1.0979584075507516,False,False,0.00033628277064261177,False,0.17990797139541873,0.0029819790810609002,0.009959514938533953,10.125,695817.7795275591,0.4452188180586816,stratified,0.0010031599538546,5624154.431525,155.58059691272882,15.752535437413792
AMP,6030,127,0.31940352845099734,0.2803803837528991,0.3584788310870222,0.3120650226785842,0.7782911131160452,0.7430796248466192,0.8115738206125434,0.29287456693383246,0.26397920132855557,0.324496031995227,0.8884230622288128,False,False,0.00026666273030057563,False,5.589201124693903,0.00280456269523745,0.011040690675739862,431.97,59311.40157480315,0.39589325622153687,stratified,2.320410387781183e-05,21984085.344825,157.43648529108978,680.0783855119206
ANET,9540,127,0.29078999352024204,0.25849133129847446,0.3219371945895705,0.35478223976266454,1.1710825114765173,1.1218077969277196,1.2149638553815256,0.25547210629309447,0.22844346062843754,0.2844781499328602,1.344028183514611,False,False,0.0002875664017183622,False,11.232342507487838,0.00166943886383385,0.018534526164993168,326.09000000000003,272474.031496063,0.4211903127093986,stratified,3.0896667639911696e-05,88099776.05752501,313.97042415154993,1023.8261561157893
APH,13687,127,0.3830660661880057,0.3411042842145929,0.42929125660548145,0.5855986129197693,1.1800906960023945,1.1397750541093465,1.2262170550780864,0.31707250245766877,0.2886137701871308,0.34687115577170485,1.3610763150239413,False,False,0.00029429658275838245,False,1.4852502233325446,0.0013047861929897,0.012186945493823938,68.24000000000001,580021.5354330709,0.2638547871179092,stratified,0.0001104758748308,50437772.12475,243.57088087350047,166.21276910807674
ATO,7979,127,0.20001255443989566,0.17057241052490102,0.22785734175891978,0.1615808344320433,0.7814704703485505,0.7440680036271068,0.8182961406548532,0.18698229596122576,0.16130753708155735,0.21245033017971826,0.9337969092954461,False,False,0.0002628250936614092,False,1.3440272776794782,0.0024090580582992,0.009135129848503239,118.7,88306.00787401575,0.3304468414338881,stratified,8.61723533238831e-05,12673606.532425,135.9426508161442,161.36392651876318
