panel,n_names,n_metaorders,delta,delta_lo,delta_hi,c_half,c_lo,c_hi
all names,108,1017071,0.30947629056548387,0.30627397635760395,0.3125764584762351,1.068164359062227,1.0626360259002325,1.0728443289506973
small-tick tercile only,36,251141,0.27382834503978004,0.2685002756135779,0.2799556855650139,0.9113998782619898,0.9037853208542507,0.9199035902802937
