q,impact,n,symbol
0.00026559118366817905,0.023295268628598962,353,AAPL
0.00037649249914956573,0.031044405101339156,353,AAPL
0.0004533885573469124,0.031178584422348346,353,AAPL
0.0005291250187293833,0.03337501139532495,353,AAPL
0.0006070777979396709,0.03989133563413747,353,AAPL
0.0006914265954802156,0.03981881829243656,353,AAPL
0.0007894210129859323,0.04920221578002431,352,AAPL
0.0009188194316529409,0.05267587475552072,353,AAPL
0.0011071789386663151,0.05487307650545061,353,AAPL
0.0013867278499660799,0.06059802949389965,353,AAPL
0.002006961219818441,0.07944799489493282,353,AAPL
0.005494130846792454,0.09470174178471504,353,AAPL
0.00030293115423428446,0.025180058740848454,1027,ABBV
0.0005243609311473837,0.028439537363691716,1027,ABBV
0.0007014640712587247,0.0333477743317919,1026,ABBV
0.0008719251658685144,0.03732051830043322,1027,ABBV
0.0010474170472910074,0.04351596058780667,1026,ABBV
0.001230144005928488,0.04508319827255413,1027,ABBV
0.00144650955185769,0.051316285392248494,1026,ABBV
0.001705242579174788,0.05409292857182139,1027,ABBV
0.0020245152359150255,0.061302940680338994,1026,ABBV
0.00246768416878259,0.0657171275979901,1026,ABBV
0.0032164171553451565,0.07778797282953107,1027,ABBV
0.006293371892053566,0.08937390948711811,1027,ABBV
0.00025343038750707457,0.024470800850624853,1242,AEP
0.00044284054497659907,0.029104469383240014,1243,AEP
0.0005954660393608127,0.03422530084068278,1242,AEP
0.000734839548634215,0.036385730211665954,1241,AEP
0.0008844675924362007,0.04137325583568709,1242,AEP
0.0010536800108503729,0.04441976828232326,1242,AEP
0.0012330939115205897,0.04785100664692192,1242,AEP
0.0014438555392203578,0.05655733204266375,1242,AEP
0.0017068599498759164,0.0591471807014014,1242,AEP
0.002091973354198274,0.06691063478536897,1242,AEP
0.0027363397867480664,0.07546365392880648,1242,AEP
0.0061735894270901395,0.09475512372277241,1242,AEP
0.0002558518353263195,0.02079740114698763,564,AJG
0.0006051064360670159,0.027629268214103164,563,AJG
0.0009947108230468535,0.036152377956436,563,AJG
0.001387918046181933,0.03890679186212599,563,AJG
0.0018196328662785763,0.044748543118867765,563,AJG
0.0022953071067902996,0.04952272889167061,565,AJG
0.0028729776503147275,0.05166720752232645,562,AJG
0.0035426495705902232,0.052114703745062226,563,AJG
0.004350566642952374,0.06318595000745345,563,AJG
0.005536413622887093,0.06552982016466219,563,AJG
0.007490904661740993,0.07521604594844761,563,AJG
0.014918830978053629,0.07695054690496886,564,AJG
0.0002722710916326443,0.0154269114809777,564,ALLE
0.0006511671413696911,0.02784013362788247,564,ALLE
0.0010651075527013396,0.03336258480192832,564,ALLE
0.0015259007289036967,0.03663087601408409,564,ALLE
0.002023103540458205,0.04079118443774792,565,ALLE
0.002551729761044035,0.04586152202449001,563,ALLE
0.0031644937507529203,0.051073265217890636,563,ALLE
0.003916139266283837,0.050098658472960425,564,ALLE
0.004826169103081701,0.05886691232989852,564,ALLE
0.006132650433295489,0.06154348030674755,564,ALLE
0.008333496832036862,0.0685238993599653,564,ALLE
0.01639723440191631,0.07344726332588836,564,ALLE
0.00033628277064261177,0.024263211758287904,204,AMCR
0.0006685675107196784,0.03438143574527376,204,AMCR
0.0010138307035413015,0.053574590360481886,204,AMCR
0.001460792913872196,0.053511719299885525,204,AMCR
0.001987772144217564,0.06856853030013822,204,AMCR
0.0025938969019001184,0.05506800467053898,204,AMCR
0.0033842284856114204,0.07681767824668921,204,AMCR
0.0042537999715795746,0.08355382629368512,204,AMCR
0.0055157175149081646,0.08699393153341295,204,AMCR
0.007390534554947498,0.10025951905428061,204,AMCR
0.010788950376825496,0.09947245861891364,204,AMCR
0.026551069812125933,0.13206387400008984,204,AMCR
0.0002666627303005756,0.021928030918592148,504,AMP
0.0006110325959584449,0.02768588951405147,501,AMP
0.0010033680124768864,0.03280034807474777,503,AMP
0.0014566850741578599,0.0398566848747329,502,AMP
0.0019622736261976073,0.041742706737921846,503,AMP
0.0025048372469092554,0.04711400382727274,502,AMP
0.003152159586706622,0.048741201084607666,502,AMP
0.003946848019894314,0.05536463090970952,503,AMP
0.004886386873831269,0.05763374994998143,502,AMP
0.006229272543639938,0.06314121472876282,503,AMP
0.008440209274829542,0.06736570138447484,502,AMP
0.01665919243868362,0.08113756515164336,503,AMP
0.0002875664017183624,0.029047359061905993,795,ANET
0.000578327142346626,0.037588409370561675,795,ANET
0.0008105516732757312,0.03825416543829196,795,ANET
0.0010434896483890936,0.04595573499955072,795,ANET
0.0012855055084343189,0.04895850178527395,795,ANET
0.0015334098621160518,0.05428649715317051,795,ANET
0.0018378041906183425,0.05558896895925645,796,ANET
0.0021913800236213416,0.06578213499186589,794,ANET
0.002663208670264091,0.062171853876217625,795,ANET
0.0033228312905144034,0.07542876022689209,795,ANET
0.004374912192790099,0.08234791335861784,795,ANET
0.008916700084019083,0.08153549472465793,795,ANET
0.00029429658275838255,0.024219136162059365,1141,APH
0.0005196753244831808,0.030576275679312277,1141,APH
0.000690937819210338,0.03378673714956594,1140,APH
0.0008526542365972676,0.036031593952762966,1141,APH
0.0010259792833548496,0.042930519662631915,1140,APH
0.001208019549568156,0.042098099961970115,1141,APH
0.0014213831376992646,0.047699570898849394,1140,APH
0.0016776022058466698,0.04910860866108317,1141,APH
0.0020116345278175744,0.05904805171957833,1140,APH
0.002466302113962388,0.060181375210858624,1140,APH
0.003244879189975942,0.07055593450513419,1141,APH
0.006480209898115572,0.08063610149856454,1141,APH
0.00026282509366140915,0.025789462696314158,665,ATO
0.0006087051923647885,0.030512105071718528,665,ATO
0.0009888658572036204,0.03640536865287787,665,ATO
0.00136508223901865,0.04138616353383783,665,ATO
0.0017568280735871067,0.04398370050026152,665,ATO
0.002189740205916208,0.04832481064476211,665,ATO
0.00266932922830838,0.05127123097003278,664,ATO
0.003248733527845549,0.0559202872479799,665,ATO
0.003972175542366638,0.06110250164327901,665,ATO
0.005016582482232053,0.05809236062560968,665,ATO
0.006695076840521625,0.06406487968172761,665,ATO
0.014571499625706598,0.06241078465984823,665,ATO
0.0002795919608195715,0.025634404634791528,545,AVB
0.00062989382291349,0.03371199066793841,544,AVB
0.0010425855570330726,0.03761352502158303,544,AVB
0.0014876558004746027,0.038307513764547774,545,AVB
0.0019629140251848335,0.044195815453457875,544,AVB
0.0025318641633960554,0.04835623495877031,544,AVB
0.003147774587149818,0.04927056811145167,544,AVB
0.003879080623754808,0.057836792115416445,545,AVB
0.004779855602618699,0.05745483921656317,544,AVB
0.006088160769716861,0.06167489110564635,544,AVB
0.008126269316351593,0.06343644530362698,544,AVB
0.01648976554160854,0.07376896218803677,545,AVB
0.0002435829123645037,0.016539125666318055,431,AVY
0.0005831690572145357,0.021326910920474635,431,AVY
0.0009960782910760461,0.03049458780697328,431,AVY
0.0014921893180277288,0.03275006409755061,430,AVY
0.002071324781874902,0.04342107547424927,431,AVY
0.002710376791721163,0.047181838626902506,431,AVY
0.003440508920884687,0.049380213970635696,430,AVY
0.004327306251348289,0.05511658178144422,431,AVY
0.005467047753478476,0.05891465243719481,431,AVY
0.00700593570496442,0.063270364932631,430,AVY
0.009629659845010631,0.06904492549511232,431,AVY
0.01869497705254709,0.07802531874380034,431,AVY
0.00031734321601505755,0.028732273380775664,888,BALL
0.0007084315886679115,0.03412913476329228,888,BALL
0.0010160766303786996,0.035413079647923944,887,BALL
0.0013112888559283558,0.03985629448294958,888,BALL
0.0016083532872771084,0.04305898585705563,887,BALL
0.0019316118505106226,0.04652000486887997,888,BALL
0.0022928015258135183,0.0480270301299575,888,BALL
0.002701716198018111,0.05378492937668965,887,BALL
0.003240766439793901,0.058883939994997817,888,BALL
0.003986379309960042,0.059057055142891814,887,BALL
0.005225612479847129,0.0686832503029121,888,BALL
0.00993446237187053,0.08350057748982252,888,BALL
0.00025572330228548453,0.024306831341360594,602,BDX
0.0005953979371643111,0.03365185343182656,601,BDX
0.0009423276042792736,0.03522140331360314,602,BDX
0.001285035491895902,0.04486791023054624,600,BDX
0.0016532821546741518,0.0437784186990228,600,BDX
0.0020671132358442493,0.04596825214577742,602,BDX
0.0025276622279067685,0.05039198482944255,601,BDX
0.0030595773482593397,0.05631165283897841,601,BDX
0.003746086345837474,0.05694680404576981,601,BDX
0.004766592423141985,0.0661445121337474,600,BDX
0.00641182313915153,0.07007121803108404,602,BDX
0.011978400937095117,0.07146386807445769,601,BDX
0.0002567531492621119,0.01739871327924175,302,BIO
0.0006263174310688325,0.024058538506897226,302,BIO
0.0010623575075855267,0.02826819304765715,302,BIO
0.0016269839345295228,0.03372460833310444,301,BIO
