schedule,benchmark,pricing,median_saving_pct,q25_saving_pct,q75_saving_pct,min_saving_pct,max_saving_pct,bootstrap_lo,bootstrap_hi,n_sessions,n_sessions_beats_benchmark
kkt_ac_high,twap,model,-127.74878020947804,-131.37462206814504,-123.65901532612176,-135.78292137470137,-114.60857484292094,-131.4653622474811,-123.13502104281648,12,0
kkt_ac_high,twap,realised_bucket,-182.86795243745468,-199.01016055432117,-171.56980077107596,-219.5455563058328,-146.3250363185896,-199.50946705627058,-170.22055523616646,12,0
kkt_ac_high,vwap,model,-40.50929501808146,-49.96474527853824,-36.56978828444927,-85.05522285391216,-5.104586013076016,-50.13959985462694,-36.071637290190125,12,0
kkt_ac_high,vwap,realised_bucket,-165.68792764881724,-191.55042076396637,-132.7693224490513,-254.19965216401627,-93.22002724281793,-193.7716852119828,-130.62766394839196,12,0
kkt_ac_low,twap,model,2.0773498373879464,1.7940261826496906,3.4822480829029425,-0.11517198123770477,5.342610258929774,1.7679677010065915,3.4822540365779266,12,11
kkt_ac_low,twap,realised_bucket,-11.060857441034777,-12.53870175244044,-7.956526571354324,-17.404684084334765,-5.486852844794752,-12.662459225977273,-7.514225648101636,12,0
kkt_ac_low,vwap,model,39.583708627554856,35.22758874017524,41.851150088390426,21.305126928375625,54.580670049140736,34.94436807643922,41.865732672656236,12,12
kkt_ac_low,vwap,realised_bucket,-1.993096597185762,-8.16275538840433,4.242094999180916,-26.19134716284204,16.99459448253845,-9.542152450234182,5.243669380234311,12,6
kkt_ac_medium,twap,model,-15.071587378964336,-16.202015644667426,-12.752964335449406,-18.898105843618612,-10.65002782151336,-16.204488687914274,-12.752964268826299,12,0
kkt_ac_medium,twap,realised_bucket,-39.80074760419434,-47.02044171320653,-35.70444164868,-48.85427924819388,-25.474492478646617,-47.165836797280164,-35.14623726267692,12,0
kkt_ac_medium,vwap,model,29.217899694123453,24.376099668579982,31.336392546294736,6.540925189903947,46.815647679082495,24.08910467922987,31.443228485674723,12,12
kkt_ac_medium,vwap,realised_bucket,-31.51172897126122,-39.643836685254556,-18.25505869532719,-67.73440905235978,1.5764486739133818,-41.790162482431455,-17.064957718288987,12,1
kkt_risk_neutral,twap,model,2.4883787534458914,2.1927656892985463,3.846615681843873,0.3389298796832679,5.711027178136616,2.1733903949297426,3.846615681843881,12,12
kkt_risk_neutral,twap,realised_bucket,-7.544323191327179,-9.554204666696531,-5.247452633625441,-14.768434628676516,-2.48411769927875,-9.68694346212008,-5.066835078640279,12,0
kkt_risk_neutral,vwap,model,39.81966197708596,35.471961432449234,42.090815815896185,21.662070712215517,54.75744705153544,35.18966991227677,42.09504161345755,12,12
kkt_risk_neutral,vwap,realised_bucket,0.9047034666865461,-5.480272872241972,6.329455617664409,-21.726634219082523,17.867792974744397,-6.574941582978193,7.227337244694459,12,6
