session,bucket_seconds,bucket_id,bucket_start_sec,n_orders,k_realised,k_model
MSFT_2024-06-03,1800,9,50400,441,1.7038634392765393,0.7242997911597016
MSFT_2024-06-03,1800,10,52200,583,1.5879729182376474,0.6721240838425716
MSFT_2024-06-03,1800,11,54000,439,1.505675684204612,0.7069009183094035
MSFT_2024-06-03,1800,12,55800,1274,0.764264900150956,1.1245251468757236
MSFT_2024-04-01,1800,9,50400,292,0.844496458617633,0.5656737192331516
MSFT_2024-04-01,1800,10,52200,348,0.691184547096412,0.5425416653774239
MSFT_2024-04-01,1800,11,54000,387,0.8644489103712597,0.5154853269604244
MSFT_2024-04-01,1800,12,55800,1798,0.5953428632070032,0.7099785157163129
MSFT_2024-10-01,1800,9,50400,516,1.7915363221202125,0.9746880424225045
MSFT_2024-10-01,1800,10,52200,648,1.9523577455826813,0.9348301958879048
MSFT_2024-10-01,1800,11,54000,697,1.5808713589397096,0.8740514026021587
MSFT_2024-10-01,1800,12,55800,2065,1.1137943806847088,1.2233334272337766
MSFT_2024-12-02,1800,9,50400,245,1.6602882635777183,0.9196236354382009
MSFT_2024-12-02,1800,10,52200,310,1.4811013416749654,0.8489132765586236
MSFT_2024-12-02,1800,11,54000,352,0.9781905517753225,0.7829530452530277
MSFT_2024-12-02,1800,12,55800,1097,0.7604424016348618,1.1126091685336135
INTC_2024-08-02,1800,9,50400,254,0.8796535601300541,0.42050938151335754
INTC_2024-08-02,1800,10,52200,277,0.8372789409674773,0.3918694754775318
INTC_2024-08-02,1800,11,54000,302,0.688596218084926,0.4143483860235597
INTC_2024-08-02,1800,12,55800,548,0.39481533654626566,0.54192008679557
INTC_2024-04-01,1800,9,50400,144,0.8047569607932569,0.47583504696618184
INTC_2024-04-01,1800,10,52200,111,0.744010331516262,0.46515529380537307
INTC_2024-04-01,1800,11,54000,185,0.6889239891818657,0.45123890762472396
INTC_2024-04-01,1800,12,55800,413,0.4258033496386944,0.5137122905082195
INTC_2024-10-01,1800,9,50400,93,1.1153193739990115,0.5482304684814049
INTC_2024-10-01,1800,10,52200,110,0.9212786600265803,0.4836190190704697
INTC_2024-10-01,1800,11,54000,86,0.921131835690869,0.5623200943415058
INTC_2024-10-01,1800,12,55800,335,0.4021034637289772,0.6447988014017316
INTC_2024-12-02,1800,9,50400,989,1.5703206039362205,0.850872872802411
INTC_2024-12-02,1800,10,52200,349,1.5481232964878324,0.7951885066203183
INTC_2024-12-02,1800,11,54000,209,1.5079907977200833,0.8138715390011065
INTC_2024-12-02,1800,12,55800,357,0.7051123728471913,1.1093665763057323
AAPL_2024-04-01,1800,9,50400,261,0.6235432764287955,0.37859393481970177
AAPL_2024-04-01,1800,10,52200,329,0.5687484985064347,0.33718920254126533
AAPL_2024-04-01,1800,11,54000,432,0.6387003262600535,0.3826315198587182
AAPL_2024-04-01,1800,12,55800,1365,0.3567453971180521,0.526918180483312
AAPL_2024-06-03,1800,9,50400,761,1.435382621141643,0.6178192924285432
AAPL_2024-06-03,1800,10,52200,844,1.4409269283547328,0.5810682725002858
AAPL_2024-06-03,1800,11,54000,874,1.319768673453217,0.7009653302619318
AAPL_2024-06-03,1800,12,55800,1741,0.9921825359335257,0.9405107034840251
AAPL_2024-08-01,1800,9,50400,1402,1.5108451026578233,0.7663855809451088
AAPL_2024-08-01,1800,10,52200,1553,1.4719420372749017,0.6825702133898996
AAPL_2024-08-01,1800,11,54000,1402,1.5834937618612779,0.7745588417164825
AAPL_2024-08-01,1800,12,55800,3962,1.3347773650788914,1.0666375203621674
AAPL_2024-10-01,1800,9,50400,871,1.4845257572711765,0.6921901706104016
AAPL_2024-10-01,1800,10,52200,1323,1.3562275257018075,0.6354807168488046
AAPL_2024-10-01,1800,11,54000,1501,1.0876243046485325,0.7221396367873079
AAPL_2024-10-01,1800,12,55800,3171,1.0004630336161608,0.9689210414368683
