session,schedule,benchmark,pricing,saving_per_share,saving_pct
MSFT_2024-12-02,kkt_risk_neutral,twap,realised_bucket,-4.308101682668972e-06,-3.0215545012356424
MSFT_2024-12-02,kkt_risk_neutral,vwap,realised_bucket,1.058228696447684e-05,6.720219205075899
MSFT_2024-12-02,kkt_ac_low,twap,realised_bucket,-5.8645391284547804e-06,-4.113186249187395
MSFT_2024-12-02,kkt_ac_low,vwap,realised_bucket,9.025849518691032e-06,5.73181274343104
MSFT_2024-12-02,kkt_ac_medium,twap,realised_bucket,-5.9817855155577305e-05,-41.95418836716541
MSFT_2024-12-02,kkt_ac_medium,vwap,realised_bucket,-4.492746650843149e-05,-28.530923823826942
MSFT_2024-12-02,kkt_ac_high,twap,realised_bucket,-0.0003057709875503166,-214.45726490084755
MSFT_2024-12-02,kkt_ac_high,vwap,realised_bucket,-0.00029088059890317074,-184.72201648802164
INTC_2024-08-02,kkt_risk_neutral,twap,model,0.0008667007443156887,13.157565745170915
INTC_2024-08-02,kkt_risk_neutral,vwap,model,0.00017334650106265882,2.9411988887791596
INTC_2024-08-02,kkt_ac_low,twap,model,0.0008132285855523922,12.345793689961946
INTC_2024-08-02,kkt_ac_low,vwap,model,0.00011987434229936231,2.033927885493192
INTC_2024-08-02,kkt_ac_medium,twap,model,-0.001060849674719139,-16.104981370335704
INTC_2024-08-02,kkt_ac_medium,vwap,model,-0.001754203917972169,-29.763869374939517
INTC_2024-08-02,kkt_ac_high,twap,model,-0.010480440324822262,-159.10576230215102
INTC_2024-08-02,kkt_ac_high,vwap,model,-0.011173794568075292,-189.58762920279725
INTC_2024-08-02,kkt_risk_neutral,twap,realised_bucket,2.1397960787500542e-06,0.9393262527773002
INTC_2024-08-02,kkt_risk_neutral,vwap,realised_bucket,3.3752014463281387e-06,1.4736518050149199
INTC_2024-08-02,kkt_ac_low,twap,realised_bucket,-7.522743827524897e-07,-0.33023290584961995
INTC_2024-08-02,kkt_ac_low,vwap,realised_bucket,4.831309848255948e-07,0.21094054952524927
INTC_2024-08-02,kkt_ac_medium,twap,realised_bucket,-7.743632552585083e-05,-33.992946434190124
